[2023-07-19 14:50:27,389] DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
[2023-07-19 14:50:27,391] DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
[2023-07-19 14:50:27,397] DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
[2023-07-19 14:50:27,398] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,398] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,398] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,398] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
[2023-07-19 14:50:27,398] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,398] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,399] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
[2023-07-19 14:50:27,399] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
[2023-07-19 14:50:27,399] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
[2023-07-19 14:50:27,399] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
[2023-07-19 14:50:27,399] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
[2023-07-19 14:50:27,399] DEBUG - findfont: score(FontEntry(fname='/home/mds8301/.conda/envs/enigma/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
