[2024-02-19 15:55:19,089][root][INFO] - Experiment name: xgb_reg_da_w_action_no_day_norm_tune
[2024-02-19 16:09:51,216][root][INFO] - Experiment name: xgb_reg_da_w_action_no_day_norm_tune
[2024-02-19 16:10:43,422][root][INFO] - Running hyperopt
[2024-02-19 16:10:43,474][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.004176 seconds
[2024-02-19 16:10:43,474][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-02-19 16:10:44,028][hyperopt.fmin][ERROR] - job exception: Must have at least 1 validation dataset for early stopping.
[2024-02-19 16:19:48,822][root][INFO] - Experiment name: xgb_reg_da_w_action_no_day_norm_tune
[2024-02-19 16:20:47,443][root][INFO] - Running hyperopt
[2024-02-19 16:20:47,470][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.004208 seconds
[2024-02-19 16:20:47,470][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-02-19 16:20:47,879][hyperopt.fmin][ERROR] - job exception: Cannot have number of splits n_splits=5 greater than the number of samples: n_samples=4.
[2024-02-19 16:31:32,967][root][INFO] - Experiment name: xgb_reg_da_w_action_no_day_norm_tune
[2024-02-19 16:32:19,404][root][INFO] - Running hyperopt
[2024-02-19 16:32:19,466][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.011530 seconds
[2024-02-19 16:32:19,466][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-02-19 16:32:23,773][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003094 seconds
[2024-02-19 16:32:23,773][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.267361
[2024-02-19 16:32:23,880][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003054 seconds
[2024-02-19 16:32:23,880][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.267361
[2024-02-19 16:32:23,917][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002932 seconds
[2024-02-19 16:32:23,917][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.267361
[2024-02-19 16:32:23,988][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002908 seconds
[2024-02-19 16:32:23,988][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.267361
[2024-02-19 16:32:24,060][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002914 seconds
[2024-02-19 16:32:24,060][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.267361
[2024-02-19 16:32:24,168][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002951 seconds
[2024-02-19 16:32:24,168][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.267361
[2024-02-19 16:32:24,205][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002772 seconds
[2024-02-19 16:32:24,205][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.267361
[2024-02-19 16:32:24,293][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002864 seconds
[2024-02-19 16:32:24,293][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.267361
[2024-02-19 16:32:24,330][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002869 seconds
[2024-02-19 16:32:24,330][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.267361
[2024-02-19 16:32:24,368][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003100 seconds
[2024-02-19 16:32:24,368][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.267361
[2024-02-19 16:32:24,458][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002937 seconds
[2024-02-19 16:32:24,459][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.267361
[2024-02-19 16:32:24,563][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003036 seconds
[2024-02-19 16:32:24,564][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.267361
[2024-02-19 16:32:24,617][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002805 seconds
[2024-02-19 16:32:24,617][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.267361
[2024-02-19 16:32:24,654][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002889 seconds
[2024-02-19 16:32:24,654][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.267361
[2024-02-19 16:32:24,726][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002906 seconds
[2024-02-19 16:32:24,729][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.267361
[2024-02-19 16:32:24,765][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002896 seconds
[2024-02-19 16:32:24,766][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.267361
[2024-02-19 16:32:24,878][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002819 seconds
[2024-02-19 16:32:24,878][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.267361
[2024-02-19 16:32:24,982][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002817 seconds
[2024-02-19 16:32:24,982][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.267361
[2024-02-19 16:32:25,020][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002834 seconds
[2024-02-19 16:32:25,020][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.267361
[2024-02-19 16:32:25,056][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002882 seconds
