[2024-01-23 11:00:14,656][root][INFO] - Experiment name: xgb_regression_da_and_d1_hyperopt_tune_with_elastic_net
[2024-01-23 11:00:18,978][root][INFO] - Running hyperopt
[2024-01-23 11:00:18,987][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002267 seconds
[2024-01-23 11:00:18,987][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-01-23 11:00:19,441][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002231 seconds
[2024-01-23 11:00:19,441][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.263824
[2024-01-23 11:00:19,572][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002669 seconds
[2024-01-23 11:00:19,572][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.263824
[2024-01-23 11:00:19,685][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002310 seconds
[2024-01-23 11:00:19,685][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.263824
[2024-01-23 11:00:19,781][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002216 seconds
[2024-01-23 11:00:19,781][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.263824
[2024-01-23 11:00:19,927][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002258 seconds
[2024-01-23 11:00:19,927][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.263824
[2024-01-23 11:00:20,047][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002281 seconds
[2024-01-23 11:00:20,047][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.263824
[2024-01-23 11:00:20,121][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002228 seconds
[2024-01-23 11:00:20,121][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.263824
[2024-01-23 11:00:20,175][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002283 seconds
[2024-01-23 11:00:20,175][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.263824
[2024-01-23 11:00:20,269][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002341 seconds
[2024-01-23 11:00:20,269][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.263824
[2024-01-23 11:00:20,318][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002225 seconds
[2024-01-23 11:00:20,318][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.263824
[2024-01-23 11:00:20,435][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002209 seconds
[2024-01-23 11:00:20,436][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.263824
[2024-01-23 11:00:20,523][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002191 seconds
[2024-01-23 11:00:20,524][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.263824
[2024-01-23 11:00:20,592][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002214 seconds
[2024-01-23 11:00:20,592][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.263824
[2024-01-23 11:00:20,819][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002274 seconds
[2024-01-23 11:00:20,819][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.263824
[2024-01-23 11:00:20,934][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002223 seconds
[2024-01-23 11:00:20,934][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.263824
[2024-01-23 11:00:21,086][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002181 seconds
[2024-01-23 11:00:21,087][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.263824
[2024-01-23 11:00:21,132][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002167 seconds
[2024-01-23 11:00:21,133][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.263824
[2024-01-23 11:00:21,235][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002174 seconds
[2024-01-23 11:00:21,235][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.263824
[2024-01-23 11:00:21,291][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002187 seconds
[2024-01-23 11:00:21,291][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.263824
[2024-01-23 11:00:21,336][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002251 seconds
[2024-01-23 11:00:21,337][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.263824
[2024-01-23 11:00:21,457][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002162 seconds
[2024-01-23 11:00:21,457][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.263824
[2024-01-23 11:00:21,515][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002151 seconds
[2024-01-23 11:00:21,515][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.263824
[2024-01-23 11:00:21,628][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002301 seconds
[2024-01-23 11:00:21,628][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.263824
[2024-01-23 11:00:21,676][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002194 seconds
[2024-01-23 11:00:21,676][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.263824
[2024-01-23 11:00:21,828][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002180 seconds
[2024-01-23 11:00:21,846][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.263824
[2024-01-23 11:00:21,956][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002242 seconds
[2024-01-23 11:00:21,956][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.263824
[2024-01-23 11:00:22,003][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002091 seconds
[2024-01-23 11:00:22,003][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.263824
[2024-01-23 11:00:22,146][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002204 seconds
[2024-01-23 11:00:22,146][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.263824
