[2024-01-01 15:45:41,138][root][INFO] - Experiment name: xgb_regression_da_and_d2_elastic_net
[2024-01-01 15:45:46,190][root][INFO] - Running hyperopt
[2024-01-01 15:45:46,227][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000722 seconds
[2024-01-01 15:45:46,227][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-01-01 15:45:46,702][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000643 seconds
[2024-01-01 15:45:46,703][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.303341
[2024-01-01 15:45:46,750][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000605 seconds
[2024-01-01 15:45:46,751][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.303341
[2024-01-01 15:45:46,794][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000679 seconds
[2024-01-01 15:45:46,794][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.303341
[2024-01-01 15:45:46,838][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000579 seconds
[2024-01-01 15:45:46,838][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.303341
[2024-01-01 15:45:46,883][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000568 seconds
[2024-01-01 15:45:46,883][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.303341
[2024-01-01 15:45:46,938][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000588 seconds
[2024-01-01 15:45:46,938][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.303341
[2024-01-01 15:45:46,982][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000593 seconds
[2024-01-01 15:45:46,982][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.303341
[2024-01-01 15:45:47,029][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000662 seconds
[2024-01-01 15:45:47,029][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.303341
[2024-01-01 15:45:47,073][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000695 seconds
[2024-01-01 15:45:47,073][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.303341
[2024-01-01 15:45:47,117][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000566 seconds
[2024-01-01 15:45:47,117][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.303341
[2024-01-01 15:45:47,164][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000576 seconds
[2024-01-01 15:45:47,164][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.303341
[2024-01-01 15:45:47,208][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 15:45:47,208][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.303341
[2024-01-01 15:45:47,260][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000589 seconds
[2024-01-01 15:45:47,261][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.303341
[2024-01-01 15:45:47,304][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000581 seconds
[2024-01-01 15:45:47,304][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.303341
[2024-01-01 15:45:47,348][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000670 seconds
[2024-01-01 15:45:47,348][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.303341
[2024-01-01 15:45:47,391][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000567 seconds
[2024-01-01 15:45:47,391][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.303341
[2024-01-01 15:45:47,437][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000586 seconds
[2024-01-01 15:45:47,510][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.303341
[2024-01-01 15:45:47,560][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000559 seconds
[2024-01-01 15:45:47,560][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.303341
[2024-01-01 15:45:47,604][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 15:45:47,604][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.303341
[2024-01-01 15:45:47,648][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000570 seconds
[2024-01-01 15:45:47,650][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.303341
[2024-01-01 15:45:47,698][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000670 seconds
[2024-01-01 15:45:47,698][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.303341
[2024-01-01 15:45:47,744][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000574 seconds
[2024-01-01 15:45:47,744][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.303341
[2024-01-01 15:45:47,789][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000576 seconds
[2024-01-01 15:45:47,790][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.303341
[2024-01-01 15:45:47,847][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000576 seconds
[2024-01-01 15:45:47,847][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.303341
[2024-01-01 15:45:47,892][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000579 seconds
[2024-01-01 15:45:47,892][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.303341
[2024-01-01 15:45:47,938][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 15:45:47,938][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.303341
[2024-01-01 15:45:47,983][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000572 seconds
[2024-01-01 15:45:47,983][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.303341
[2024-01-01 15:45:48,028][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000569 seconds
[2024-01-01 15:45:48,028][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.303341
[2024-01-01 15:45:48,074][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 15:45:48,074][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.303341
[2024-01-01 15:45:48,119][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 15:45:48,120][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.303341
[2024-01-01 15:45:48,165][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000574 seconds
[2024-01-01 15:45:48,165][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.303341
[2024-01-01 15:45:48,212][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000587 seconds
[2024-01-01 15:45:48,212][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.303341
[2024-01-01 15:45:48,257][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000560 seconds
[2024-01-01 15:45:48,257][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.303341
[2024-01-01 15:45:48,303][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000589 seconds
[2024-01-01 15:45:48,303][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.303341
[2024-01-01 15:45:48,350][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000575 seconds
[2024-01-01 15:45:48,350][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.303341
[2024-01-01 15:45:48,396][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000583 seconds
[2024-01-01 15:45:48,396][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.303341
[2024-01-01 15:45:48,441][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000580 seconds
[2024-01-01 15:45:48,441][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.303341
[2024-01-01 15:45:48,492][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000571 seconds
[2024-01-01 15:45:48,492][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.303341
[2024-01-01 15:45:48,545][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000668 seconds
[2024-01-01 15:45:48,545][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.303341
[2024-01-01 15:45:48,590][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000575 seconds
[2024-01-01 15:45:48,590][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.303341
[2024-01-01 15:45:48,636][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000587 seconds
[2024-01-01 15:45:48,636][hyperopt.tpe][INFO] - TPE using 41/41 trials with best loss 0.303341
[2024-01-01 15:45:48,681][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000595 seconds
[2024-01-01 15:45:48,682][hyperopt.tpe][INFO] - TPE using 42/42 trials with best loss 0.303341
[2024-01-01 15:45:48,727][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000576 seconds
[2024-01-01 15:45:48,727][hyperopt.tpe][INFO] - TPE using 43/43 trials with best loss 0.303341
[2024-01-01 15:45:48,773][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000585 seconds
[2024-01-01 15:45:48,774][hyperopt.tpe][INFO] - TPE using 44/44 trials with best loss 0.303341
[2024-01-01 15:45:48,819][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000576 seconds
[2024-01-01 15:45:48,820][hyperopt.tpe][INFO] - TPE using 45/45 trials with best loss 0.303341
[2024-01-01 15:45:48,865][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 15:45:48,866][hyperopt.tpe][INFO] - TPE using 46/46 trials with best loss 0.303341
