[2024-01-01 12:09:08,569][root][INFO] - Experiment name: xgb_regression_da_and_d2_only_hyperopt_tune_no_reg
[2024-01-01 12:09:13,420][root][INFO] - Running hyperopt
[2024-01-01 12:09:13,442][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001868 seconds
[2024-01-01 12:09:13,442][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-01-01 12:09:13,943][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001823 seconds
[2024-01-01 12:09:13,944][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.337094
[2024-01-01 12:09:14,066][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002521 seconds
[2024-01-01 12:09:14,066][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.310148
[2024-01-01 12:09:14,164][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001761 seconds
[2024-01-01 12:09:14,164][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.310148
[2024-01-01 12:09:14,358][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001728 seconds
[2024-01-01 12:09:14,358][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.310148
[2024-01-01 12:09:14,484][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001735 seconds
[2024-01-01 12:09:14,484][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.310148
[2024-01-01 12:09:14,588][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001763 seconds
[2024-01-01 12:09:14,588][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.310148
[2024-01-01 12:09:14,688][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001732 seconds
[2024-01-01 12:09:14,688][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.310148
[2024-01-01 12:09:14,747][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001791 seconds
[2024-01-01 12:09:14,747][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.310148
[2024-01-01 12:09:14,822][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-01 12:09:14,822][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.310148
[2024-01-01 12:09:14,904][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001755 seconds
[2024-01-01 12:09:14,904][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.310148
[2024-01-01 12:09:14,973][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001764 seconds
[2024-01-01 12:09:14,974][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.310148
[2024-01-01 12:09:15,039][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001759 seconds
[2024-01-01 12:09:15,040][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.310148
[2024-01-01 12:09:15,165][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001756 seconds
[2024-01-01 12:09:15,165][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.310148
[2024-01-01 12:09:15,286][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001834 seconds
[2024-01-01 12:09:15,286][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.310148
[2024-01-01 12:09:15,396][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001738 seconds
[2024-01-01 12:09:15,396][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.310148
[2024-01-01 12:09:15,492][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001762 seconds
[2024-01-01 12:09:15,492][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.310148
[2024-01-01 12:09:15,535][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001742 seconds
[2024-01-01 12:09:15,535][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.310148
[2024-01-01 12:09:15,602][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001746 seconds
[2024-01-01 12:09:15,602][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.310148
[2024-01-01 12:09:15,649][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-01 12:09:15,649][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.310148
[2024-01-01 12:09:15,702][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001773 seconds
[2024-01-01 12:09:15,703][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.310148
[2024-01-01 12:09:15,869][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001769 seconds
[2024-01-01 12:09:15,869][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.310148
[2024-01-01 12:09:16,041][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001733 seconds
[2024-01-01 12:09:16,042][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.310148
[2024-01-01 12:09:16,214][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001760 seconds
[2024-01-01 12:09:16,214][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.310148
[2024-01-01 12:09:16,270][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001755 seconds
[2024-01-01 12:09:16,270][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.310148
[2024-01-01 12:09:16,323][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001757 seconds
[2024-01-01 12:09:16,323][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.310148
[2024-01-01 12:09:16,489][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001811 seconds
[2024-01-01 12:09:16,489][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.310148
[2024-01-01 12:09:16,639][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001776 seconds
[2024-01-01 12:09:16,640][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.310148
[2024-01-01 12:09:16,692][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001745 seconds
[2024-01-01 12:09:16,693][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.310148
[2024-01-01 12:09:16,866][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001730 seconds
[2024-01-01 12:09:16,866][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.310148
[2024-01-01 12:09:16,913][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001761 seconds
[2024-01-01 12:09:16,914][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.310148
[2024-01-01 12:09:17,085][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001778 seconds
[2024-01-01 12:09:17,085][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.310148
[2024-01-01 12:09:17,186][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001811 seconds
[2024-01-01 12:09:17,186][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.310148
[2024-01-01 12:09:17,289][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001820 seconds
[2024-01-01 12:09:17,289][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.310148
[2024-01-01 12:09:17,390][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001759 seconds
[2024-01-01 12:09:17,390][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.310148
[2024-01-01 12:09:17,492][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001776 seconds
[2024-01-01 12:09:17,492][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.310148
[2024-01-01 12:09:17,593][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-01 12:09:17,593][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.310148
[2024-01-01 12:09:17,720][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001755 seconds
[2024-01-01 12:09:17,720][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.310148
[2024-01-01 12:09:17,819][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001783 seconds
[2024-01-01 12:09:17,819][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.310148
[2024-01-01 12:09:17,976][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001793 seconds
[2024-01-01 12:09:17,976][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.310148
[2024-01-01 12:09:18,069][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001748 seconds
[2024-01-01 12:09:18,069][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.310148
[2024-01-01 12:09:18,148][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001766 seconds
[2024-01-01 12:09:18,148][hyperopt.tpe][INFO] - TPE using 41/41 trials with best loss 0.310148
[2024-01-01 12:09:18,276][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001761 seconds
[2024-01-01 12:09:18,276][hyperopt.tpe][INFO] - TPE using 42/42 trials with best loss 0.310148
[2024-01-01 12:09:18,351][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001770 seconds
[2024-01-01 12:09:18,352][hyperopt.tpe][INFO] - TPE using 43/43 trials with best loss 0.310148
[2024-01-01 12:09:18,492][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001825 seconds
[2024-01-01 12:09:18,492][hyperopt.tpe][INFO] - TPE using 44/44 trials with best loss 0.310148
[2024-01-01 12:09:18,607][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001744 seconds
[2024-01-01 12:09:18,607][hyperopt.tpe][INFO] - TPE using 45/45 trials with best loss 0.310148
[2024-01-01 12:09:18,751][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001742 seconds
[2024-01-01 12:09:18,751][hyperopt.tpe][INFO] - TPE using 46/46 trials with best loss 0.310148
[2024-01-01 12:09:18,816][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001760 seconds
[2024-01-01 12:09:18,816][hyperopt.tpe][INFO] - TPE using 47/47 trials with best loss 0.310148
[2024-01-01 12:09:18,914][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-01 12:09:18,915][hyperopt.tpe][INFO] - TPE using 48/48 trials with best loss 0.310148
[2024-01-01 12:09:19,075][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001776 seconds
[2024-01-01 12:09:19,076][hyperopt.tpe][INFO] - TPE using 49/49 trials with best loss 0.310148
[2024-01-01 12:09:19,202][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001816 seconds
[2024-01-01 12:09:19,202][hyperopt.tpe][INFO] - TPE using 50/50 trials with best loss 0.303841
[2024-01-01 12:09:19,349][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001761 seconds
[2024-01-01 12:09:19,349][hyperopt.tpe][INFO] - TPE using 51/51 trials with best loss 0.303841
[2024-01-01 12:09:19,476][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001806 seconds
[2024-01-01 12:09:19,476][hyperopt.tpe][INFO] - TPE using 52/52 trials with best loss 0.303841
[2024-01-01 12:09:19,619][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001771 seconds
[2024-01-01 12:09:19,619][hyperopt.tpe][INFO] - TPE using 53/53 trials with best loss 0.303841
[2024-01-01 12:09:19,740][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001749 seconds
[2024-01-01 12:09:19,740][hyperopt.tpe][INFO] - TPE using 54/54 trials with best loss 0.303841
[2024-01-01 12:09:19,966][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001761 seconds
[2024-01-01 12:09:19,966][hyperopt.tpe][INFO] - TPE using 55/55 trials with best loss 0.303841
[2024-01-01 12:09:20,115][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001785 seconds
[2024-01-01 12:09:20,116][hyperopt.tpe][INFO] - TPE using 56/56 trials with best loss 0.303841
[2024-01-01 12:09:20,220][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001778 seconds
[2024-01-01 12:09:20,220][hyperopt.tpe][INFO] - TPE using 57/57 trials with best loss 0.303841
[2024-01-01 12:09:20,327][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001744 seconds
[2024-01-01 12:09:20,327][hyperopt.tpe][INFO] - TPE using 58/58 trials with best loss 0.303841
[2024-01-01 12:09:20,489][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001768 seconds
[2024-01-01 12:09:20,489][hyperopt.tpe][INFO] - TPE using 59/59 trials with best loss 0.303841
[2024-01-01 12:09:20,583][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001772 seconds
[2024-01-01 12:09:20,584][hyperopt.tpe][INFO] - TPE using 60/60 trials with best loss 0.270361
[2024-01-01 12:09:20,679][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001787 seconds
[2024-01-01 12:09:20,679][hyperopt.tpe][INFO] - TPE using 61/61 trials with best loss 0.270361
[2024-01-01 12:09:20,772][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001791 seconds
[2024-01-01 12:09:20,773][hyperopt.tpe][INFO] - TPE using 62/62 trials with best loss 0.270361
