[2024-02-06 13:05:35,847][root][INFO] - Experiment name: xgb_regression_da_normalzied_tune
[2024-02-06 13:06:40,474][root][INFO] - Running hyperopt
[2024-02-06 13:06:40,533][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002235 seconds
[2024-02-06 13:06:40,533][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-02-06 13:06:41,360][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002192 seconds
[2024-02-06 13:06:41,361][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.284785
[2024-02-06 13:06:41,593][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002644 seconds
[2024-02-06 13:06:41,593][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.284785
[2024-02-06 13:06:43,203][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002396 seconds
[2024-02-06 13:06:43,203][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.269082
[2024-02-06 13:06:43,940][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002267 seconds
[2024-02-06 13:06:43,940][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.269082
[2024-02-06 13:06:44,870][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002287 seconds
[2024-02-06 13:06:44,871][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.253239
[2024-02-06 13:06:46,614][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002265 seconds
[2024-02-06 13:06:46,614][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.253239
[2024-02-06 13:06:47,447][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002233 seconds
[2024-02-06 13:06:47,447][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.253239
[2024-02-06 13:06:47,683][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002250 seconds
[2024-02-06 13:06:47,684][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.253239
[2024-02-06 13:06:49,833][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002394 seconds
[2024-02-06 13:06:49,833][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.251654
[2024-02-06 13:06:50,121][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002247 seconds
[2024-02-06 13:06:50,121][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.251654
[2024-02-06 13:06:50,709][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002273 seconds
[2024-02-06 13:06:50,709][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.251654
[2024-02-06 13:06:50,792][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002211 seconds
[2024-02-06 13:06:50,793][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.251654
[2024-02-06 13:06:52,260][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002267 seconds
[2024-02-06 13:06:52,260][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.251654
[2024-02-06 13:06:54,423][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002422 seconds
[2024-02-06 13:06:54,423][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.251654
[2024-02-06 13:06:54,507][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002255 seconds
[2024-02-06 13:06:54,507][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.251654
[2024-02-06 13:06:55,103][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002270 seconds
[2024-02-06 13:06:55,103][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.251654
