[2024-02-12 11:32:15,997][root][INFO] - Experiment name: norm_elastic_net
[2024-02-12 11:33:08,961][root][INFO] - Running hyperopt
[2024-02-12 11:33:08,991][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000725 seconds
[2024-02-12 11:33:08,991][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-02-12 11:33:09,394][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000630 seconds
[2024-02-12 11:33:09,394][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.222404
[2024-02-12 11:33:09,498][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000690 seconds
[2024-02-12 11:33:09,499][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.222404
[2024-02-12 11:33:09,607][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000569 seconds
[2024-02-12 11:33:09,607][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.221186
[2024-02-12 11:33:09,713][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000604 seconds
[2024-02-12 11:33:09,714][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.221186
[2024-02-12 11:33:09,817][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000586 seconds
[2024-02-12 11:33:09,817][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.221186
[2024-02-12 11:33:09,925][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000608 seconds
[2024-02-12 11:33:09,925][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.221186
[2024-02-12 11:33:10,034][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000692 seconds
[2024-02-12 11:33:10,034][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.168443
[2024-02-12 11:33:10,139][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000569 seconds
[2024-02-12 11:33:10,139][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.168443
[2024-02-12 11:33:10,243][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000590 seconds
[2024-02-12 11:33:10,243][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.168443
[2024-02-12 11:33:10,347][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000585 seconds
[2024-02-12 11:33:10,347][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.168443
[2024-02-12 11:33:10,451][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000585 seconds
[2024-02-12 11:33:10,451][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.168443
[2024-02-12 11:33:10,555][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000578 seconds
[2024-02-12 11:33:10,555][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.168443
[2024-02-12 11:33:10,659][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000581 seconds
[2024-02-12 11:33:10,659][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.168443
[2024-02-12 11:33:10,770][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000705 seconds
[2024-02-12 11:33:10,770][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.168443
[2024-02-12 11:33:10,874][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-02-12 11:33:10,874][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.168443
[2024-02-12 11:33:10,978][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000571 seconds
[2024-02-12 11:33:10,978][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.168443
[2024-02-12 11:33:11,082][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000579 seconds
[2024-02-12 11:33:11,083][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.168443
[2024-02-12 11:33:11,187][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000558 seconds
[2024-02-12 11:33:11,188][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.168443
[2024-02-12 11:33:11,293][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000580 seconds
[2024-02-12 11:33:11,293][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.168443
[2024-02-12 11:33:11,397][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000676 seconds
[2024-02-12 11:33:11,397][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.168443
[2024-02-12 11:33:11,515][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000600 seconds
[2024-02-12 11:33:11,515][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.135785
[2024-02-12 11:33:11,622][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000592 seconds
[2024-02-12 11:33:11,622][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.135785
[2024-02-12 11:33:11,728][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000584 seconds
[2024-02-12 11:33:11,728][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.135785
[2024-02-12 11:33:11,844][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000604 seconds
[2024-02-12 11:33:11,845][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.131776
[2024-02-12 11:33:11,953][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000618 seconds
[2024-02-12 11:33:11,953][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.131776
[2024-02-12 11:33:12,059][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000642 seconds
[2024-02-12 11:33:12,059][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.131776
[2024-02-12 11:33:12,167][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000598 seconds
[2024-02-12 11:33:12,167][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.131776
[2024-02-12 11:33:12,281][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000612 seconds
[2024-02-12 11:33:12,281][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.127289
[2024-02-12 11:33:12,388][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000596 seconds
[2024-02-12 11:33:12,388][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.127289
[2024-02-12 11:33:12,495][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000589 seconds
[2024-02-12 11:33:12,495][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.127289
[2024-02-12 11:33:12,614][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000602 seconds
[2024-02-12 11:33:12,614][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.127289
[2024-02-12 11:33:12,723][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000607 seconds
[2024-02-12 11:33:12,723][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.127289
[2024-02-12 11:33:12,829][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000580 seconds
[2024-02-12 11:33:12,829][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.127289
[2024-02-12 11:33:12,934][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000585 seconds
[2024-02-12 11:33:12,934][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.127289
[2024-02-12 11:33:13,045][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000563 seconds
[2024-02-12 11:33:13,045][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.127289
[2024-02-12 11:33:13,155][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000591 seconds
[2024-02-12 11:33:13,155][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.127289
[2024-02-12 11:33:13,263][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000587 seconds
[2024-02-12 11:33:13,263][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.127289
[2024-02-12 11:33:13,370][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000585 seconds
[2024-02-12 11:33:13,370][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.127289
[2024-02-12 11:33:13,477][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000588 seconds
[2024-02-12 11:33:13,477][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.127289
[2024-02-12 11:33:13,586][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000590 seconds
[2024-02-12 11:33:13,587][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.127289
[2024-02-12 11:33:13,693][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000590 seconds
[2024-02-12 11:33:13,693][hyperopt.tpe][INFO] - TPE using 41/41 trials with best loss 0.127289
[2024-02-12 11:33:13,799][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000587 seconds
[2024-02-12 11:33:13,799][hyperopt.tpe][INFO] - TPE using 42/42 trials with best loss 0.127289
[2024-02-12 11:33:13,905][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000561 seconds
[2024-02-12 11:33:13,905][hyperopt.tpe][INFO] - TPE using 43/43 trials with best loss 0.127289
[2024-02-12 11:33:14,024][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000602 seconds
[2024-02-12 11:33:14,025][hyperopt.tpe][INFO] - TPE using 44/44 trials with best loss 0.125022
[2024-02-12 11:33:14,137][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000585 seconds
[2024-02-12 11:33:14,137][hyperopt.tpe][INFO] - TPE using 45/45 trials with best loss 0.125022
[2024-02-12 11:33:14,243][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000585 seconds
[2024-02-12 11:33:14,244][hyperopt.tpe][INFO] - TPE using 46/46 trials with best loss 0.125022
[2024-02-12 11:33:14,350][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000586 seconds
[2024-02-12 11:33:14,350][hyperopt.tpe][INFO] - TPE using 47/47 trials with best loss 0.125022
[2024-02-12 11:33:14,456][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000579 seconds
[2024-02-12 11:33:14,456][hyperopt.tpe][INFO] - TPE using 48/48 trials with best loss 0.125022
[2024-02-12 11:33:14,565][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000595 seconds
[2024-02-12 11:33:14,565][hyperopt.tpe][INFO] - TPE using 49/49 trials with best loss 0.125022
[2024-02-12 11:33:14,671][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000585 seconds
[2024-02-12 11:33:14,671][hyperopt.tpe][INFO] - TPE using 50/50 trials with best loss 0.125022
[2024-02-12 11:33:14,779][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000594 seconds
[2024-02-12 11:33:14,779][hyperopt.tpe][INFO] - TPE using 51/51 trials with best loss 0.125022
[2024-02-12 11:33:14,885][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000570 seconds
[2024-02-12 11:33:14,885][hyperopt.tpe][INFO] - TPE using 52/52 trials with best loss 0.125022
[2024-02-12 11:33:14,997][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000691 seconds
[2024-02-12 11:33:14,997][hyperopt.tpe][INFO] - TPE using 53/53 trials with best loss 0.125022
[2024-02-12 11:33:15,103][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000586 seconds
[2024-02-12 11:33:15,103][hyperopt.tpe][INFO] - TPE using 54/54 trials with best loss 0.125022
[2024-02-12 11:33:15,211][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000591 seconds
[2024-02-12 11:33:15,211][hyperopt.tpe][INFO] - TPE using 55/55 trials with best loss 0.125022
[2024-02-12 11:33:15,318][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000597 seconds
[2024-02-12 11:33:15,318][hyperopt.tpe][INFO] - TPE using 56/56 trials with best loss 0.125022
[2024-02-12 11:33:15,426][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000583 seconds
[2024-02-12 11:33:15,426][hyperopt.tpe][INFO] - TPE using 57/57 trials with best loss 0.125022
[2024-02-12 11:33:15,540][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000569 seconds
[2024-02-12 11:33:15,540][hyperopt.tpe][INFO] - TPE using 58/58 trials with best loss 0.125022
[2024-02-12 11:33:15,646][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000589 seconds
[2024-02-12 11:33:15,646][hyperopt.tpe][INFO] - TPE using 59/59 trials with best loss 0.125022
[2024-02-12 11:33:15,753][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000570 seconds
[2024-02-12 11:33:15,753][hyperopt.tpe][INFO] - TPE using 60/60 trials with best loss 0.125022
[2024-02-12 11:33:15,862][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000570 seconds
[2024-02-12 11:33:15,862][hyperopt.tpe][INFO] - TPE using 61/61 trials with best loss 0.125022
[2024-02-12 11:33:15,968][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000582 seconds
[2024-02-12 11:33:15,968][hyperopt.tpe][INFO] - TPE using 62/62 trials with best loss 0.125022
[2024-02-12 11:33:16,076][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000591 seconds
[2024-02-12 11:33:16,076][hyperopt.tpe][INFO] - TPE using 63/63 trials with best loss 0.125022
[2024-02-12 11:33:16,182][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000582 seconds
[2024-02-12 11:33:16,182][hyperopt.tpe][INFO] - TPE using 64/64 trials with best loss 0.125022
[2024-02-12 11:33:16,288][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000558 seconds
[2024-02-12 11:33:16,288][hyperopt.tpe][INFO] - TPE using 65/65 trials with best loss 0.125022
[2024-02-12 11:33:16,403][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000570 seconds
[2024-02-12 11:33:16,403][hyperopt.tpe][INFO] - TPE using 66/66 trials with best loss 0.118443
[2024-02-12 11:33:16,514][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000568 seconds
[2024-02-12 11:33:16,514][hyperopt.tpe][INFO] - TPE using 67/67 trials with best loss 0.118443
[2024-02-12 11:33:16,621][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-02-12 11:33:16,621][hyperopt.tpe][INFO] - TPE using 68/68 trials with best loss 0.118443
[2024-02-12 11:33:16,737][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000579 seconds
[2024-02-12 11:33:16,737][hyperopt.tpe][INFO] - TPE using 69/69 trials with best loss 0.118443
[2024-02-12 11:33:16,844][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000590 seconds
[2024-02-12 11:33:16,844][hyperopt.tpe][INFO] - TPE using 70/70 trials with best loss 0.118443
[2024-02-12 11:33:16,953][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000586 seconds
[2024-02-12 11:33:16,953][hyperopt.tpe][INFO] - TPE using 71/71 trials with best loss 0.118443
[2024-02-12 11:33:17,062][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000616 seconds
[2024-02-12 11:33:17,062][hyperopt.tpe][INFO] - TPE using 72/72 trials with best loss 0.118443
[2024-02-12 11:33:17,172][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000673 seconds
[2024-02-12 11:33:17,172][hyperopt.tpe][INFO] - TPE using 73/73 trials with best loss 0.118443
[2024-02-12 11:33:17,279][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000560 seconds
[2024-02-12 11:33:17,280][hyperopt.tpe][INFO] - TPE using 74/74 trials with best loss 0.118443
[2024-02-12 11:33:17,390][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000600 seconds
[2024-02-12 11:33:17,390][hyperopt.tpe][INFO] - TPE using 75/75 trials with best loss 0.118443
[2024-02-12 11:33:17,500][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000682 seconds
[2024-02-12 11:33:17,500][hyperopt.tpe][INFO] - TPE using 76/76 trials with best loss 0.118443
[2024-02-12 11:33:17,612][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000594 seconds
[2024-02-12 11:33:17,612][hyperopt.tpe][INFO] - TPE using 77/77 trials with best loss 0.118443
[2024-02-12 11:33:17,727][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000559 seconds
[2024-02-12 11:33:17,727][hyperopt.tpe][INFO] - TPE using 78/78 trials with best loss 0.118443
[2024-02-12 11:33:17,834][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000588 seconds
[2024-02-12 11:33:17,834][hyperopt.tpe][INFO] - TPE using 79/79 trials with best loss 0.118443
[2024-02-12 11:33:17,942][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000584 seconds
[2024-02-12 11:33:17,942][hyperopt.tpe][INFO] - TPE using 80/80 trials with best loss 0.118443
[2024-02-12 11:33:18,048][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000582 seconds
[2024-02-12 11:33:18,049][hyperopt.tpe][INFO] - TPE using 81/81 trials with best loss 0.118443
[2024-02-12 11:33:18,156][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000603 seconds
[2024-02-12 11:33:18,156][hyperopt.tpe][INFO] - TPE using 82/82 trials with best loss 0.118443
[2024-02-12 11:33:18,265][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000575 seconds
[2024-02-12 11:33:18,265][hyperopt.tpe][INFO] - TPE using 83/83 trials with best loss 0.118443
[2024-02-12 11:33:18,373][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000593 seconds
[2024-02-12 11:33:18,373][hyperopt.tpe][INFO] - TPE using 84/84 trials with best loss 0.118443
[2024-02-12 11:33:18,483][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000572 seconds
[2024-02-12 11:33:18,483][hyperopt.tpe][INFO] - TPE using 85/85 trials with best loss 0.118443
[2024-02-12 11:33:18,595][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000590 seconds
[2024-02-12 11:33:18,596][hyperopt.tpe][INFO] - TPE using 86/86 trials with best loss 0.118443
[2024-02-12 11:33:18,704][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000582 seconds
[2024-02-12 11:33:18,705][hyperopt.tpe][INFO] - TPE using 87/87 trials with best loss 0.118443
[2024-02-12 11:33:18,811][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000591 seconds
[2024-02-12 11:33:18,811][hyperopt.tpe][INFO] - TPE using 88/88 trials with best loss 0.118443
[2024-02-12 11:33:18,918][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000602 seconds
[2024-02-12 11:33:18,919][hyperopt.tpe][INFO] - TPE using 89/89 trials with best loss 0.118443
[2024-02-12 11:33:19,026][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000564 seconds
[2024-02-12 11:33:19,026][hyperopt.tpe][INFO] - TPE using 90/90 trials with best loss 0.118443
[2024-02-12 11:33:19,138][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000576 seconds
[2024-02-12 11:33:19,138][hyperopt.tpe][INFO] - TPE using 91/91 trials with best loss 0.118443
[2024-02-12 11:33:19,245][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000594 seconds
[2024-02-12 11:33:19,245][hyperopt.tpe][INFO] - TPE using 92/92 trials with best loss 0.118443
[2024-02-12 11:33:19,352][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000566 seconds
[2024-02-12 11:33:19,352][hyperopt.tpe][INFO] - TPE using 93/93 trials with best loss 0.118443
[2024-02-12 11:33:19,459][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000572 seconds
[2024-02-12 11:33:19,459][hyperopt.tpe][INFO] - TPE using 94/94 trials with best loss 0.118443
[2024-02-12 11:33:19,565][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000580 seconds
[2024-02-12 11:33:19,565][hyperopt.tpe][INFO] - TPE using 95/95 trials with best loss 0.118443
[2024-02-12 11:33:19,674][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000598 seconds
[2024-02-12 11:33:19,675][hyperopt.tpe][INFO] - TPE using 96/96 trials with best loss 0.118443
[2024-02-12 11:33:19,781][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000572 seconds
[2024-02-12 11:33:19,781][hyperopt.tpe][INFO] - TPE using 97/97 trials with best loss 0.118443
[2024-02-12 11:33:19,888][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000583 seconds
[2024-02-12 11:33:19,888][hyperopt.tpe][INFO] - TPE using 98/98 trials with best loss 0.118443
[2024-02-12 11:33:19,999][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000593 seconds
[2024-02-12 11:33:20,000][hyperopt.tpe][INFO] - TPE using 99/99 trials with best loss 0.118443
[2024-02-12 11:33:20,106][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000607 seconds
[2024-02-12 11:33:20,106][hyperopt.tpe][INFO] - TPE using 100/100 trials with best loss 0.118443
[2024-02-12 11:33:20,213][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000597 seconds
[2024-02-12 11:33:20,213][hyperopt.tpe][INFO] - TPE using 101/101 trials with best loss 0.118443
[2024-02-12 11:33:20,319][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000595 seconds
[2024-02-12 11:33:20,320][hyperopt.tpe][INFO] - TPE using 102/102 trials with best loss 0.118443
[2024-02-12 11:33:20,428][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000700 seconds
[2024-02-12 11:33:20,428][hyperopt.tpe][INFO] - TPE using 103/103 trials with best loss 0.118443
[2024-02-12 11:33:20,539][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000594 seconds
[2024-02-12 11:33:20,540][hyperopt.tpe][INFO] - TPE using 104/104 trials with best loss 0.118443
[2024-02-12 11:33:20,649][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000607 seconds
[2024-02-12 11:33:20,649][hyperopt.tpe][INFO] - TPE using 105/105 trials with best loss 0.118443
[2024-02-12 11:33:20,757][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000580 seconds
[2024-02-12 11:33:20,757][hyperopt.tpe][INFO] - TPE using 106/106 trials with best loss 0.118443
[2024-02-12 11:33:20,876][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000568 seconds
[2024-02-12 11:33:20,876][hyperopt.tpe][INFO] - TPE using 107/107 trials with best loss 0.118443
[2024-02-12 11:33:20,986][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000582 seconds
[2024-02-12 11:33:20,986][hyperopt.tpe][INFO] - TPE using 108/108 trials with best loss 0.118443
[2024-02-12 11:33:21,092][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000560 seconds
[2024-02-12 11:33:21,093][hyperopt.tpe][INFO] - TPE using 109/109 trials with best loss 0.118443
[2024-02-12 11:33:21,199][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000568 seconds
[2024-02-12 11:33:21,199][hyperopt.tpe][INFO] - TPE using 110/110 trials with best loss 0.118443
[2024-02-12 11:33:21,306][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000562 seconds
[2024-02-12 11:33:21,306][hyperopt.tpe][INFO] - TPE using 111/111 trials with best loss 0.118443
[2024-02-12 11:33:21,414][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000574 seconds
[2024-02-12 11:33:21,414][hyperopt.tpe][INFO] - TPE using 112/112 trials with best loss 0.118443
