[2024-02-12 11:06:33,154][root][INFO] - Experiment name: xgb_regression_da_normalzied_tune
[2024-02-12 11:07:21,277][root][INFO] - Running hyperopt
[2024-02-12 11:07:21,336][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.005404 seconds
[2024-02-12 11:07:21,336][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-02-12 11:07:21,712][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001536 seconds
[2024-02-12 11:07:21,712][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.227557
[2024-02-12 11:07:21,815][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001420 seconds
[2024-02-12 11:07:21,816][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.227557
[2024-02-12 11:07:21,932][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001815 seconds
[2024-02-12 11:07:21,932][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.227557
[2024-02-12 11:07:21,972][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001480 seconds
[2024-02-12 11:07:21,972][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.227557
[2024-02-12 11:07:22,070][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001490 seconds
[2024-02-12 11:07:22,070][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.227557
[2024-02-12 11:07:22,107][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001399 seconds
[2024-02-12 11:07:22,107][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.227557
[2024-02-12 11:07:22,163][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001448 seconds
[2024-02-12 11:07:22,163][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.227557
[2024-02-12 11:07:22,231][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001398 seconds
[2024-02-12 11:07:22,232][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.227557
[2024-02-12 11:07:22,308][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001412 seconds
[2024-02-12 11:07:22,308][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.227557
[2024-02-12 11:07:22,441][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001449 seconds
[2024-02-12 11:07:22,442][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.227557
[2024-02-12 11:07:22,478][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001517 seconds
[2024-02-12 11:07:22,478][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.227557
[2024-02-12 11:07:22,536][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001414 seconds
[2024-02-12 11:07:22,537][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.227557
[2024-02-12 11:07:22,576][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001429 seconds
[2024-02-12 11:07:22,577][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.227557
[2024-02-12 11:07:22,629][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001387 seconds
[2024-02-12 11:07:22,629][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.227557
[2024-02-12 11:07:22,764][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001523 seconds
[2024-02-12 11:07:22,767][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.227557
[2024-02-12 11:07:22,831][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001499 seconds
[2024-02-12 11:07:22,831][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.227557
[2024-02-12 11:07:22,921][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001399 seconds
[2024-02-12 11:07:22,921][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.227557
[2024-02-12 11:07:22,956][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001385 seconds
[2024-02-12 11:07:22,956][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.227557
[2024-02-12 11:07:22,993][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001431 seconds
[2024-02-12 11:07:22,993][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.227557
[2024-02-12 11:07:23,032][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001621 seconds
[2024-02-12 11:07:23,068][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.227557
[2024-02-12 11:07:23,185][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001423 seconds
[2024-02-12 11:07:23,185][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.227557
[2024-02-12 11:07:23,224][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001412 seconds
[2024-02-12 11:07:23,224][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.227557
[2024-02-12 11:07:23,261][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001409 seconds
[2024-02-12 11:07:23,261][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.227557
[2024-02-12 11:07:23,366][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001462 seconds
[2024-02-12 11:07:23,366][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.227557
[2024-02-12 11:07:23,444][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001410 seconds
[2024-02-12 11:07:23,444][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.227557
[2024-02-12 11:07:23,481][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001404 seconds
