[2024-01-01 14:56:59,236][root][INFO] - Experiment name: xgb_regression_da_only_hyperopt_elastic_net
[2024-01-01 14:57:02,650][root][INFO] - Running hyperopt
[2024-01-01 14:57:02,654][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000696 seconds
[2024-01-01 14:57:02,654][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-01-01 14:57:03,012][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000639 seconds
[2024-01-01 14:57:03,013][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.357696
[2024-01-01 14:57:03,086][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000691 seconds
[2024-01-01 14:57:03,086][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.357696
[2024-01-01 14:57:03,149][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000590 seconds
[2024-01-01 14:57:03,149][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.357696
[2024-01-01 14:57:03,212][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000584 seconds
[2024-01-01 14:57:03,212][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.357696
[2024-01-01 14:57:03,290][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000608 seconds
[2024-01-01 14:57:03,290][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.357696
[2024-01-01 14:57:03,354][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000592 seconds
[2024-01-01 14:57:03,354][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.357696
[2024-01-01 14:57:03,419][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000686 seconds
[2024-01-01 14:57:03,419][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.357696
[2024-01-01 14:57:03,485][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000703 seconds
[2024-01-01 14:57:03,485][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.357696
[2024-01-01 14:57:03,550][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000579 seconds
[2024-01-01 14:57:03,550][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.357696
[2024-01-01 14:57:03,619][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000574 seconds
[2024-01-01 14:57:03,619][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.357696
[2024-01-01 14:57:03,695][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000576 seconds
[2024-01-01 14:57:03,695][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.357696
[2024-01-01 14:57:03,768][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000573 seconds
[2024-01-01 14:57:03,768][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.357696
[2024-01-01 14:57:03,845][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000674 seconds
[2024-01-01 14:57:03,845][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.357696
[2024-01-01 14:57:03,910][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000591 seconds
[2024-01-01 14:57:03,910][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.357696
[2024-01-01 14:57:03,982][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000563 seconds
[2024-01-01 14:57:03,983][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.357696
[2024-01-01 14:57:04,052][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000568 seconds
[2024-01-01 14:57:04,053][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.357696
[2024-01-01 14:57:04,122][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000583 seconds
[2024-01-01 14:57:04,122][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.357696
[2024-01-01 14:57:04,193][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000560 seconds
[2024-01-01 14:57:04,194][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.357696
[2024-01-01 14:57:04,267][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000674 seconds
[2024-01-01 14:57:04,268][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.357696
[2024-01-01 14:57:04,330][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000571 seconds
[2024-01-01 14:57:04,331][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.357696
[2024-01-01 14:57:04,397][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000573 seconds
[2024-01-01 14:57:04,397][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.357696
[2024-01-01 14:57:04,461][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 14:57:04,461][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.357696
[2024-01-01 14:57:04,526][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000565 seconds
[2024-01-01 14:57:04,526][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.357696
[2024-01-01 14:57:04,590][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000582 seconds
[2024-01-01 14:57:04,590][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.357696
[2024-01-01 14:57:04,655][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000574 seconds
[2024-01-01 14:57:04,655][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.357696
[2024-01-01 14:57:04,720][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 14:57:04,720][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.357696
[2024-01-01 14:57:04,786][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000589 seconds
[2024-01-01 14:57:04,786][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.357696
[2024-01-01 14:57:04,851][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000577 seconds
[2024-01-01 14:57:04,851][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.357696
[2024-01-01 14:57:04,920][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000601 seconds
[2024-01-01 14:57:04,920][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.357696
[2024-01-01 14:57:04,985][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000571 seconds
[2024-01-01 14:57:04,985][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.357696
[2024-01-01 14:57:05,050][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000634 seconds
[2024-01-01 14:57:05,050][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.357696
[2024-01-01 14:57:05,120][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000590 seconds
[2024-01-01 14:57:05,120][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.357696
[2024-01-01 14:57:05,185][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000573 seconds
[2024-01-01 14:57:05,186][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.357696
[2024-01-01 14:57:05,250][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000574 seconds
[2024-01-01 14:57:05,250][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.357696
[2024-01-01 14:57:05,316][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000582 seconds
[2024-01-01 14:57:05,316][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.357696
[2024-01-01 14:57:05,381][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000580 seconds
[2024-01-01 14:57:05,381][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.357696
[2024-01-01 14:57:05,445][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000586 seconds
[2024-01-01 14:57:05,445][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.357696
[2024-01-01 14:57:05,510][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000567 seconds
[2024-01-01 14:57:05,510][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.357696
[2024-01-01 14:57:05,574][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000579 seconds
[2024-01-01 14:57:05,575][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.357696
[2024-01-01 14:57:05,639][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.000578 seconds
[2024-01-01 14:57:05,639][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.357696
