[2024-01-02 15:06:55,422][root][INFO] - Experiment name: xgb_regression_da_only_hyperopt_tune_no_reg
[2024-01-02 15:06:59,679][root][INFO] - Running hyperopt
[2024-01-02 15:06:59,730][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001847 seconds
[2024-01-02 15:06:59,730][hyperopt.tpe][INFO] - TPE using 0 trials
[2024-01-02 15:07:00,246][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001835 seconds
[2024-01-02 15:07:00,247][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.230734
[2024-01-02 15:07:00,334][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001783 seconds
[2024-01-02 15:07:00,334][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.228613
[2024-01-02 15:07:00,403][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002149 seconds
[2024-01-02 15:07:00,404][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.228596
[2024-01-02 15:07:00,485][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001756 seconds
[2024-01-02 15:07:00,485][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.228596
[2024-01-02 15:07:00,613][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001735 seconds
[2024-01-02 15:07:00,613][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.228596
[2024-01-02 15:07:00,750][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001772 seconds
[2024-01-02 15:07:00,750][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.228596
[2024-01-02 15:07:00,897][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001766 seconds
[2024-01-02 15:07:00,897][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.228596
[2024-01-02 15:07:01,052][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001742 seconds
[2024-01-02 15:07:01,052][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.211657
[2024-01-02 15:07:01,163][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001776 seconds
[2024-01-02 15:07:01,163][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.211657
[2024-01-02 15:07:01,259][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-02 15:07:01,260][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.211657
[2024-01-02 15:07:01,395][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001905 seconds
[2024-01-02 15:07:01,395][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.211657
[2024-01-02 15:07:01,517][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001746 seconds
[2024-01-02 15:07:01,517][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.211657
[2024-01-02 15:07:01,623][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001755 seconds
[2024-01-02 15:07:01,623][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.211657
[2024-01-02 15:07:01,726][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001743 seconds
[2024-01-02 15:07:01,726][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.211657
[2024-01-02 15:07:01,884][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001752 seconds
[2024-01-02 15:07:01,884][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.211657
[2024-01-02 15:07:01,973][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001713 seconds
[2024-01-02 15:07:01,973][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.211657
[2024-01-02 15:07:02,040][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001724 seconds
[2024-01-02 15:07:02,040][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.211657
[2024-01-02 15:07:02,141][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001711 seconds
[2024-01-02 15:07:02,141][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.211657
[2024-01-02 15:07:02,270][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001755 seconds
[2024-01-02 15:07:02,270][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.211657
[2024-01-02 15:07:02,383][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001710 seconds
[2024-01-02 15:07:02,385][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.211657
[2024-01-02 15:07:02,433][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001765 seconds
[2024-01-02 15:07:02,433][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.211657
[2024-01-02 15:07:02,486][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001753 seconds
[2024-01-02 15:07:02,486][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.211657
[2024-01-02 15:07:02,557][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001741 seconds
[2024-01-02 15:07:02,557][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.211657
[2024-01-02 15:07:02,680][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001732 seconds
[2024-01-02 15:07:02,680][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.211657
[2024-01-02 15:07:02,802][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001734 seconds
[2024-01-02 15:07:02,803][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.211657
[2024-01-02 15:07:02,910][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001751 seconds
[2024-01-02 15:07:02,910][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.211657
[2024-01-02 15:07:03,017][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001758 seconds
[2024-01-02 15:07:03,018][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.211657
[2024-01-02 15:07:03,068][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-02 15:07:03,068][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.211657
[2024-01-02 15:07:03,126][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001753 seconds
[2024-01-02 15:07:03,126][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.211657
[2024-01-02 15:07:03,184][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001740 seconds
[2024-01-02 15:07:03,184][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.211657
[2024-01-02 15:07:03,241][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001732 seconds
[2024-01-02 15:07:03,241][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.211657
[2024-01-02 15:07:03,295][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001727 seconds
[2024-01-02 15:07:03,295][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.211657
[2024-01-02 15:07:03,347][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001757 seconds
[2024-01-02 15:07:03,347][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.211657
[2024-01-02 15:07:03,404][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001718 seconds
[2024-01-02 15:07:03,404][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.211657
[2024-01-02 15:07:03,599][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001732 seconds
[2024-01-02 15:07:03,599][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.203589
[2024-01-02 15:07:03,850][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001718 seconds
[2024-01-02 15:07:03,851][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.203589
[2024-01-02 15:07:04,006][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001728 seconds
[2024-01-02 15:07:04,006][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.203589
[2024-01-02 15:07:04,165][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001730 seconds
[2024-01-02 15:07:04,166][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.203589
[2024-01-02 15:07:04,316][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001759 seconds
[2024-01-02 15:07:04,316][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.203589
[2024-01-02 15:07:04,409][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001743 seconds
[2024-01-02 15:07:04,410][hyperopt.tpe][INFO] - TPE using 40/40 trials with best loss 0.203589
[2024-01-02 15:07:04,533][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001729 seconds
[2024-01-02 15:07:04,533][hyperopt.tpe][INFO] - TPE using 41/41 trials with best loss 0.203589
[2024-01-02 15:07:04,681][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001726 seconds
[2024-01-02 15:07:04,682][hyperopt.tpe][INFO] - TPE using 42/42 trials with best loss 0.203589
[2024-01-02 15:07:04,798][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001750 seconds
[2024-01-02 15:07:04,798][hyperopt.tpe][INFO] - TPE using 43/43 trials with best loss 0.203589
