[2023-12-01 14:46:44,176][root][INFO] - Experiment name: xgb_regression_da_and_d1_hyperopt_tune
[2023-12-01 14:46:49,036][root][INFO] - Running hyperopt
[2023-12-01 14:46:49,062][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002590 seconds
[2023-12-01 14:46:49,062][hyperopt.tpe][INFO] - TPE using 0 trials
[2023-12-01 14:46:49,441][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003119 seconds
[2023-12-01 14:46:49,442][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.265549
[2023-12-01 14:46:49,609][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002498 seconds
[2023-12-01 14:46:49,609][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.264795
[2023-12-01 14:46:49,673][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002456 seconds
[2023-12-01 14:46:49,673][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.264795
[2023-12-01 14:46:49,891][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002661 seconds
[2023-12-01 14:46:49,891][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.264708
[2023-12-01 14:46:49,971][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002443 seconds
[2023-12-01 14:46:49,972][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.264708
[2023-12-01 14:46:50,088][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002498 seconds
[2023-12-01 14:46:50,088][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.264708
[2023-12-01 14:46:50,183][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002454 seconds
[2023-12-01 14:46:50,183][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.264588
[2023-12-01 14:46:50,240][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002459 seconds
[2023-12-01 14:46:50,241][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.264588
[2023-12-01 14:46:50,326][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002437 seconds
[2023-12-01 14:46:50,327][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.264588
[2023-12-01 14:46:50,372][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002429 seconds
[2023-12-01 14:46:50,372][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.264588
[2023-12-01 14:46:50,579][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002522 seconds
[2023-12-01 14:46:50,579][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.264588
[2023-12-01 14:46:50,650][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002429 seconds
[2023-12-01 14:46:50,650][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.264588
[2023-12-01 14:46:50,713][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002418 seconds
[2023-12-01 14:46:50,714][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.264588
[2023-12-01 14:46:50,819][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002445 seconds
[2023-12-01 14:46:50,819][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.264588
[2023-12-01 14:46:50,903][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002448 seconds
[2023-12-01 14:46:50,903][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.264588
[2023-12-01 14:46:51,023][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002437 seconds
[2023-12-01 14:46:51,023][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.264588
[2023-12-01 14:46:51,149][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002440 seconds
[2023-12-01 14:46:51,149][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.264588
[2023-12-01 14:46:51,198][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002385 seconds
[2023-12-01 14:46:51,198][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.264588
[2023-12-01 14:46:51,303][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002403 seconds
[2023-12-01 14:46:51,303][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.264588
[2023-12-01 14:46:51,388][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002429 seconds
[2023-12-01 14:46:51,389][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.264588
[2023-12-01 14:46:51,598][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002415 seconds
[2023-12-01 14:46:51,598][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.264588
[2023-12-01 14:46:51,797][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002411 seconds
[2023-12-01 14:46:51,797][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.264588
[2023-12-01 14:46:51,970][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002463 seconds
[2023-12-01 14:46:51,970][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.264588
