[2023-12-01 14:51:25,935][root][INFO] - Experiment name: xgb_regression_da_and_d1_hyperopt_tune_with_day
[2023-12-01 14:51:30,233][root][INFO] - Running hyperopt
[2023-12-01 14:51:30,244][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002598 seconds
[2023-12-01 14:51:30,244][hyperopt.tpe][INFO] - TPE using 0 trials
[2023-12-01 14:51:30,854][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003073 seconds
[2023-12-01 14:51:30,854][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.265664
[2023-12-01 14:51:31,042][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002503 seconds
[2023-12-01 14:51:31,042][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.265664
[2023-12-01 14:51:31,203][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002477 seconds
[2023-12-01 14:51:31,203][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.265097
[2023-12-01 14:51:31,373][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002466 seconds
[2023-12-01 14:51:31,373][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.265097
[2023-12-01 14:51:31,503][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002565 seconds
[2023-12-01 14:51:31,503][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.265097
[2023-12-01 14:51:31,631][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002481 seconds
[2023-12-01 14:51:31,631][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.265097
[2023-12-01 14:51:31,905][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002456 seconds
[2023-12-01 14:51:31,905][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.265097
[2023-12-01 14:51:31,951][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002427 seconds
[2023-12-01 14:51:31,952][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.265097
[2023-12-01 14:51:32,043][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002413 seconds
[2023-12-01 14:51:32,043][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.265097
[2023-12-01 14:51:32,086][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002477 seconds
[2023-12-01 14:51:32,086][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.265097
[2023-12-01 14:51:32,191][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002421 seconds
[2023-12-01 14:51:32,191][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.265097
[2023-12-01 14:51:32,246][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002411 seconds
[2023-12-01 14:51:32,246][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.265097
[2023-12-01 14:51:32,309][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002408 seconds
[2023-12-01 14:51:32,309][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.265097
[2023-12-01 14:51:32,367][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002401 seconds
[2023-12-01 14:51:32,367][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.265097
[2023-12-01 14:51:32,580][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002414 seconds
[2023-12-01 14:51:32,580][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.265097
[2023-12-01 14:51:32,631][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002383 seconds
[2023-12-01 14:51:32,631][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.265097
[2023-12-01 14:51:32,677][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002380 seconds
[2023-12-01 14:51:32,677][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.265097
[2023-12-01 14:51:32,721][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002387 seconds
[2023-12-01 14:51:32,722][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.265097
[2023-12-01 14:51:32,793][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002406 seconds
[2023-12-01 14:51:32,793][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.265097
[2023-12-01 14:51:32,968][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002581 seconds
[2023-12-01 14:51:32,969][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.265097
[2023-12-01 14:51:33,100][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002546 seconds
[2023-12-01 14:51:33,100][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.265097
[2023-12-01 14:51:33,230][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002447 seconds
[2023-12-01 14:51:33,230][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.265097
[2023-12-01 14:51:33,392][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002432 seconds
[2023-12-01 14:51:33,392][hyperopt.tpe][INFO] - TPE using 23/23 trials with best loss 0.265097
[2023-12-01 14:51:33,538][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002396 seconds
[2023-12-01 14:51:33,538][hyperopt.tpe][INFO] - TPE using 24/24 trials with best loss 0.264814
[2023-12-01 14:51:33,678][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002429 seconds
[2023-12-01 14:51:33,678][hyperopt.tpe][INFO] - TPE using 25/25 trials with best loss 0.264814
[2023-12-01 14:51:33,797][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002458 seconds
[2023-12-01 14:51:33,797][hyperopt.tpe][INFO] - TPE using 26/26 trials with best loss 0.264814
[2023-12-01 14:51:33,916][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002398 seconds
[2023-12-01 14:51:33,916][hyperopt.tpe][INFO] - TPE using 27/27 trials with best loss 0.264814
[2023-12-01 14:51:34,035][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002397 seconds
[2023-12-01 14:51:34,036][hyperopt.tpe][INFO] - TPE using 28/28 trials with best loss 0.264814
[2023-12-01 14:51:34,188][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002392 seconds
[2023-12-01 14:51:34,188][hyperopt.tpe][INFO] - TPE using 29/29 trials with best loss 0.264814
[2023-12-01 14:51:34,303][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002399 seconds
[2023-12-01 14:51:34,303][hyperopt.tpe][INFO] - TPE using 30/30 trials with best loss 0.264814
[2023-12-01 14:51:34,389][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002404 seconds
[2023-12-01 14:51:34,389][hyperopt.tpe][INFO] - TPE using 31/31 trials with best loss 0.264814
[2023-12-01 14:51:34,499][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002436 seconds
[2023-12-01 14:51:34,499][hyperopt.tpe][INFO] - TPE using 32/32 trials with best loss 0.264814
[2023-12-01 14:51:34,587][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002404 seconds
[2023-12-01 14:51:34,587][hyperopt.tpe][INFO] - TPE using 33/33 trials with best loss 0.264814
[2023-12-01 14:51:34,802][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002439 seconds
[2023-12-01 14:51:34,802][hyperopt.tpe][INFO] - TPE using 34/34 trials with best loss 0.264729
[2023-12-01 14:51:34,985][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002475 seconds
[2023-12-01 14:51:34,986][hyperopt.tpe][INFO] - TPE using 35/35 trials with best loss 0.264729
[2023-12-01 14:51:35,208][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002479 seconds
[2023-12-01 14:51:35,209][hyperopt.tpe][INFO] - TPE using 36/36 trials with best loss 0.264602
[2023-12-01 14:51:35,441][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002551 seconds
[2023-12-01 14:51:35,441][hyperopt.tpe][INFO] - TPE using 37/37 trials with best loss 0.264525
[2023-12-01 14:51:35,670][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002457 seconds
[2023-12-01 14:51:35,670][hyperopt.tpe][INFO] - TPE using 38/38 trials with best loss 0.264525
[2023-12-01 14:51:35,906][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002595 seconds
[2023-12-01 14:51:35,906][hyperopt.tpe][INFO] - TPE using 39/39 trials with best loss 0.264525
[2023-12-01 14:51:36,143][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002481 seconds
