[2023-11-29 09:32:33,576][root][INFO] - Experiment name: xgb_regression_da_only_hyperopt_tune``
[2023-11-29 09:32:37,734][root][INFO] - Running hyperopt
[2023-11-29 09:32:37,776][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.006874 seconds
[2023-11-29 09:32:37,777][hyperopt.tpe][INFO] - TPE using 0 trials
[2023-11-29 09:32:43,523][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002063 seconds
[2023-11-29 09:32:43,523][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 2.115781
[2023-11-29 09:32:43,553][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002419 seconds
[2023-11-29 09:32:43,583][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 2.115781
[2023-11-29 09:32:43,668][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001812 seconds
[2023-11-29 09:32:43,668][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 1.455455
[2023-11-29 09:32:43,710][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001687 seconds
[2023-11-29 09:32:43,710][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 1.455455
[2023-11-29 09:32:43,739][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001735 seconds
[2023-11-29 09:32:43,739][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 1.336520
[2023-11-29 09:32:44,147][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001712 seconds
[2023-11-29 09:32:44,147][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.867870
[2023-11-29 09:32:44,368][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001829 seconds
[2023-11-29 09:32:44,368][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.867870
[2023-11-29 09:32:44,608][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001769 seconds
[2023-11-29 09:32:44,608][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.867870
[2023-11-29 09:32:44,637][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001855 seconds
[2023-11-29 09:32:44,637][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.867870
[2023-11-29 09:32:45,019][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001711 seconds
[2023-11-29 09:32:45,019][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.867870
[2023-11-29 09:32:45,048][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001762 seconds
[2023-11-29 09:32:45,048][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.867870
[2023-11-29 09:32:45,131][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001781 seconds
[2023-11-29 09:32:45,131][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.867870
[2023-11-29 09:32:45,186][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001693 seconds
[2023-11-29 09:32:45,186][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.867870
[2023-11-29 09:32:45,715][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001809 seconds
[2023-11-29 09:32:45,716][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.867870
[2023-11-29 09:32:45,765][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001673 seconds
[2023-11-29 09:32:45,765][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.867870
[2023-11-29 09:32:45,799][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001822 seconds
[2023-11-29 09:32:45,799][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.867870
[2023-11-29 09:32:45,874][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001785 seconds
[2023-11-29 09:32:45,874][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.867870
[2023-11-29 09:32:46,113][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001693 seconds
[2023-11-29 09:32:46,113][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.867870
[2023-11-29 09:32:46,162][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001663 seconds
[2023-11-29 09:32:46,162][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.867870
[2023-11-29 09:32:46,196][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.001683 seconds
[2023-11-29 09:32:46,198][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.867870
