[2023-11-29 16:10:28,320][root][INFO] - Experiment name: xgb_regression_da_only_hyperopt_tune
[2023-11-29 16:10:32,539][root][INFO] - Running hyperopt
[2023-11-29 16:10:32,566][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002433 seconds
[2023-11-29 16:10:32,566][hyperopt.tpe][INFO] - TPE using 0 trials
[2023-11-29 16:10:32,967][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002375 seconds
[2023-11-29 16:10:32,967][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.274515
[2023-11-29 16:10:33,111][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002804 seconds
[2023-11-29 16:10:33,112][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.270607
[2023-11-29 16:10:33,288][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002330 seconds
[2023-11-29 16:10:33,288][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.270607
[2023-11-29 16:10:33,393][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002329 seconds
[2023-11-29 16:10:33,393][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.253537
[2023-11-29 16:10:33,586][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002345 seconds
[2023-11-29 16:10:33,586][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.253537
[2023-11-29 16:10:33,664][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002328 seconds
[2023-11-29 16:10:33,665][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.253537
[2023-11-29 16:10:33,809][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002371 seconds
[2023-11-29 16:10:33,809][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.253537
[2023-11-29 16:10:34,335][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002537 seconds
[2023-11-29 16:10:34,335][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.253537
[2023-11-29 16:10:34,380][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002298 seconds
[2023-11-29 16:10:34,380][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.253537
[2023-11-29 16:10:34,535][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002307 seconds
[2023-11-29 16:10:34,535][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.253537
[2023-11-29 16:10:35,031][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002291 seconds
[2023-11-29 16:10:35,031][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.253537
[2023-11-29 16:10:35,197][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002308 seconds
[2023-11-29 16:10:35,197][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.253537
[2023-11-29 16:10:35,284][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002288 seconds
[2023-11-29 16:10:35,284][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.253537
[2023-11-29 16:10:35,593][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002316 seconds
[2023-11-29 16:10:35,593][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.253537
[2023-11-29 16:10:35,654][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002280 seconds
[2023-11-29 16:10:35,654][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.253537
[2023-11-29 16:10:35,840][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002268 seconds
[2023-11-29 16:10:35,840][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.253537
[2023-11-29 16:10:36,025][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002273 seconds
[2023-11-29 16:10:36,025][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.253537
[2023-11-29 16:10:36,086][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002273 seconds
[2023-11-29 16:10:36,087][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.253537
[2023-11-29 16:10:36,773][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002285 seconds
[2023-11-29 16:10:36,773][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.253537
[2023-11-29 16:10:36,818][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002288 seconds
[2023-11-29 16:10:36,820][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.253537
[2023-11-29 16:10:36,850][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002259 seconds
[2023-11-29 16:10:36,850][hyperopt.tpe][INFO] - TPE using 21/21 trials with best loss 0.252150
[2023-11-29 16:10:36,880][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002264 seconds
[2023-11-29 16:10:36,880][hyperopt.tpe][INFO] - TPE using 22/22 trials with best loss 0.252150
[2023-11-29 16:10:36,910][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002262 seconds
