[2023-12-01 14:53:26,833][root][INFO] - Experiment name: xgb_regression_da_only_hyperopt_tuneS_with_day
[2023-12-01 14:53:30,293][root][INFO] - Running hyperopt
[2023-12-01 14:53:30,302][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002599 seconds
[2023-12-01 14:53:30,302][hyperopt.tpe][INFO] - TPE using 0 trials
[2023-12-01 14:53:30,714][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.003060 seconds
[2023-12-01 14:53:30,714][hyperopt.tpe][INFO] - TPE using 1/1 trials with best loss 0.273565
[2023-12-01 14:53:30,816][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002486 seconds
[2023-12-01 14:53:30,816][hyperopt.tpe][INFO] - TPE using 2/2 trials with best loss 0.271090
[2023-12-01 14:53:30,898][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002446 seconds
[2023-12-01 14:53:30,898][hyperopt.tpe][INFO] - TPE using 3/3 trials with best loss 0.271090
[2023-12-01 14:53:31,010][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002445 seconds
[2023-12-01 14:53:31,010][hyperopt.tpe][INFO] - TPE using 4/4 trials with best loss 0.270341
[2023-12-01 14:53:31,077][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002454 seconds
[2023-12-01 14:53:31,077][hyperopt.tpe][INFO] - TPE using 5/5 trials with best loss 0.270341
[2023-12-01 14:53:31,122][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002679 seconds
[2023-12-01 14:53:31,122][hyperopt.tpe][INFO] - TPE using 6/6 trials with best loss 0.270341
[2023-12-01 14:53:31,267][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002474 seconds
[2023-12-01 14:53:31,267][hyperopt.tpe][INFO] - TPE using 7/7 trials with best loss 0.268043
[2023-12-01 14:53:31,369][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002459 seconds
[2023-12-01 14:53:31,369][hyperopt.tpe][INFO] - TPE using 8/8 trials with best loss 0.268043
[2023-12-01 14:53:31,456][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002441 seconds
[2023-12-01 14:53:31,456][hyperopt.tpe][INFO] - TPE using 9/9 trials with best loss 0.268043
[2023-12-01 14:53:31,499][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002450 seconds
[2023-12-01 14:53:31,499][hyperopt.tpe][INFO] - TPE using 10/10 trials with best loss 0.268043
[2023-12-01 14:53:31,638][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002422 seconds
[2023-12-01 14:53:31,638][hyperopt.tpe][INFO] - TPE using 11/11 trials with best loss 0.265298
[2023-12-01 14:53:31,766][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002539 seconds
[2023-12-01 14:53:31,766][hyperopt.tpe][INFO] - TPE using 12/12 trials with best loss 0.265298
[2023-12-01 14:53:31,830][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002458 seconds
[2023-12-01 14:53:31,830][hyperopt.tpe][INFO] - TPE using 13/13 trials with best loss 0.265298
[2023-12-01 14:53:31,998][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002482 seconds
[2023-12-01 14:53:31,998][hyperopt.tpe][INFO] - TPE using 14/14 trials with best loss 0.265298
[2023-12-01 14:53:32,131][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002449 seconds
[2023-12-01 14:53:32,131][hyperopt.tpe][INFO] - TPE using 15/15 trials with best loss 0.263258
[2023-12-01 14:53:32,195][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002433 seconds
[2023-12-01 14:53:32,195][hyperopt.tpe][INFO] - TPE using 16/16 trials with best loss 0.263258
[2023-12-01 14:53:32,294][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002421 seconds
[2023-12-01 14:53:32,294][hyperopt.tpe][INFO] - TPE using 17/17 trials with best loss 0.263258
[2023-12-01 14:53:32,336][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002436 seconds
[2023-12-01 14:53:32,337][hyperopt.tpe][INFO] - TPE using 18/18 trials with best loss 0.263258
[2023-12-01 14:53:32,418][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002417 seconds
[2023-12-01 14:53:32,418][hyperopt.tpe][INFO] - TPE using 19/19 trials with best loss 0.263258
[2023-12-01 14:53:32,467][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002431 seconds
[2023-12-01 14:53:32,468][hyperopt.tpe][INFO] - TPE using 20/20 trials with best loss 0.263258
[2023-12-01 14:53:32,573][hyperopt.tpe][INFO] - build_posterior_wrapper took 0.002430 seconds
