[2023-10-30 14:46:37,525] INFO - Processing data
[2023-10-30 14:46:42,121] INFO - Data processed
[2023-10-30 14:46:42,122] INFO - Running hyperopt
[2023-10-30 14:46:42,128] INFO - build_posterior_wrapper took 0.002146 seconds
[2023-10-30 14:46:42,128] INFO - TPE using 0 trials
[2023-10-30 14:46:47,334] INFO - build_posterior_wrapper took 0.001902 seconds
[2023-10-30 14:46:47,334] INFO - TPE using 1/1 trials with best loss -0.302779
[2023-10-30 14:46:47,380] INFO - build_posterior_wrapper took 0.001722 seconds
[2023-10-30 14:46:47,380] INFO - TPE using 2/2 trials with best loss -0.430953
[2023-10-30 14:46:47,487] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:46:47,487] INFO - TPE using 3/3 trials with best loss -0.681856
[2023-10-30 14:46:47,646] INFO - build_posterior_wrapper took 0.001669 seconds
[2023-10-30 14:46:47,646] INFO - TPE using 4/4 trials with best loss -0.681856
[2023-10-30 14:46:51,417] INFO - build_posterior_wrapper took 0.001769 seconds
[2023-10-30 14:46:51,417] INFO - TPE using 5/5 trials with best loss -0.681856
[2023-10-30 14:46:51,863] INFO - build_posterior_wrapper took 0.046390 seconds
[2023-10-30 14:46:51,863] INFO - TPE using 6/6 trials with best loss -0.681856
[2023-10-30 14:46:52,681] INFO - build_posterior_wrapper took 0.001801 seconds
[2023-10-30 14:46:52,681] INFO - TPE using 7/7 trials with best loss -0.999964
[2023-10-30 14:46:52,812] INFO - build_posterior_wrapper took 0.001682 seconds
[2023-10-30 14:46:52,812] INFO - TPE using 8/8 trials with best loss -0.999964
[2023-10-30 14:46:52,915] INFO - build_posterior_wrapper took 0.001668 seconds
[2023-10-30 14:46:52,915] INFO - TPE using 9/9 trials with best loss -0.999964
[2023-10-30 14:46:53,199] INFO - build_posterior_wrapper took 0.001672 seconds
[2023-10-30 14:46:53,199] INFO - TPE using 10/10 trials with best loss -0.999964
[2023-10-30 14:47:00,342] INFO - build_posterior_wrapper took 0.001850 seconds
[2023-10-30 14:47:00,342] INFO - TPE using 11/11 trials with best loss -0.999964
[2023-10-30 14:47:01,844] INFO - build_posterior_wrapper took 0.001697 seconds
[2023-10-30 14:47:01,844] INFO - TPE using 12/12 trials with best loss -0.999964
[2023-10-30 14:47:06,421] INFO - build_posterior_wrapper took 0.001800 seconds
[2023-10-30 14:47:06,421] INFO - TPE using 13/13 trials with best loss -0.999964
[2023-10-30 14:47:06,834] INFO - build_posterior_wrapper took 0.001680 seconds
[2023-10-30 14:47:06,834] INFO - TPE using 14/14 trials with best loss -0.999964
[2023-10-30 14:47:09,075] INFO - build_posterior_wrapper took 0.001708 seconds
[2023-10-30 14:47:09,075] INFO - TPE using 15/15 trials with best loss -0.999964
[2023-10-30 14:47:09,178] INFO - build_posterior_wrapper took 0.001671 seconds
[2023-10-30 14:47:09,178] INFO - TPE using 16/16 trials with best loss -0.999964
[2023-10-30 14:47:12,938] INFO - build_posterior_wrapper took 0.001706 seconds
[2023-10-30 14:47:12,938] INFO - TPE using 17/17 trials with best loss -0.999964
[2023-10-30 14:47:15,302] INFO - build_posterior_wrapper took 0.001779 seconds
[2023-10-30 14:47:15,302] INFO - TPE using 18/18 trials with best loss -0.999964
[2023-10-30 14:47:15,462] INFO - build_posterior_wrapper took 0.001662 seconds
[2023-10-30 14:47:15,462] INFO - TPE using 19/19 trials with best loss -0.999964
[2023-10-30 14:47:21,857] INFO - build_posterior_wrapper took 0.001701 seconds
[2023-10-30 14:47:21,857] INFO - TPE using 20/20 trials with best loss -0.999964
[2023-10-30 14:47:22,616] INFO - build_posterior_wrapper took 0.001676 seconds
[2023-10-30 14:47:22,616] INFO - TPE using 21/21 trials with best loss -0.999964
[2023-10-30 14:47:23,430] INFO - build_posterior_wrapper took 0.001700 seconds
[2023-10-30 14:47:23,430] INFO - TPE using 22/22 trials with best loss -0.999964
[2023-10-30 14:47:24,250] INFO - build_posterior_wrapper took 0.001743 seconds
[2023-10-30 14:47:24,250] INFO - TPE using 23/23 trials with best loss -0.999964
[2023-10-30 14:47:25,066] INFO - build_posterior_wrapper took 0.001672 seconds
[2023-10-30 14:47:25,068] INFO - TPE using 24/24 trials with best loss -0.999964
[2023-10-30 14:47:25,888] INFO - build_posterior_wrapper took 0.001687 seconds
[2023-10-30 14:47:25,889] INFO - TPE using 25/25 trials with best loss -0.999964
[2023-10-30 14:47:26,706] INFO - build_posterior_wrapper took 0.001670 seconds
[2023-10-30 14:47:26,706] INFO - TPE using 26/26 trials with best loss -0.999964
[2023-10-30 14:47:27,475] INFO - build_posterior_wrapper took 0.001784 seconds
[2023-10-30 14:47:27,475] INFO - TPE using 27/27 trials with best loss -0.999964
[2023-10-30 14:47:27,580] INFO - build_posterior_wrapper took 0.001678 seconds
[2023-10-30 14:47:27,580] INFO - TPE using 28/28 trials with best loss -0.999964
[2023-10-30 14:47:28,361] INFO - build_posterior_wrapper took 0.001782 seconds
[2023-10-30 14:47:28,361] INFO - TPE using 29/29 trials with best loss -0.999964
[2023-10-30 14:47:29,120] INFO - build_posterior_wrapper took 0.001679 seconds
[2023-10-30 14:47:29,120] INFO - TPE using 30/30 trials with best loss -0.999964
[2023-10-30 14:47:29,184] INFO - build_posterior_wrapper took 0.001690 seconds
[2023-10-30 14:47:29,184] INFO - TPE using 31/31 trials with best loss -0.999964
[2023-10-30 14:47:29,965] INFO - build_posterior_wrapper took 0.001762 seconds
[2023-10-30 14:47:29,965] INFO - TPE using 32/32 trials with best loss -0.999964
[2023-10-30 14:47:30,610] INFO - build_posterior_wrapper took 0.001678 seconds
[2023-10-30 14:47:30,611] INFO - TPE using 33/33 trials with best loss -0.999964
[2023-10-30 14:47:30,715] INFO - build_posterior_wrapper took 0.001751 seconds
[2023-10-30 14:47:30,715] INFO - TPE using 34/34 trials with best loss -0.999964
[2023-10-30 14:47:31,178] INFO - build_posterior_wrapper took 0.001717 seconds
[2023-10-30 14:47:31,178] INFO - TPE using 35/35 trials with best loss -0.999964
[2023-10-30 14:47:31,312] INFO - build_posterior_wrapper took 0.001683 seconds
[2023-10-30 14:47:31,312] INFO - TPE using 36/36 trials with best loss -0.999964
[2023-10-30 14:47:32,058] INFO - build_posterior_wrapper took 0.001669 seconds
[2023-10-30 14:47:32,058] INFO - TPE using 37/37 trials with best loss -0.999964
[2023-10-30 14:47:32,107] INFO - build_posterior_wrapper took 0.001691 seconds
[2023-10-30 14:47:32,107] INFO - TPE using 38/38 trials with best loss -0.999964
[2023-10-30 14:47:32,968] INFO - build_posterior_wrapper took 0.001675 seconds
[2023-10-30 14:47:32,968] INFO - TPE using 39/39 trials with best loss -0.999964
[2023-10-30 14:47:33,747] INFO - build_posterior_wrapper took 0.001748 seconds
[2023-10-30 14:47:33,747] INFO - TPE using 40/40 trials with best loss -0.999964
[2023-10-30 14:47:33,881] INFO - build_posterior_wrapper took 0.001794 seconds
[2023-10-30 14:47:33,881] INFO - TPE using 41/41 trials with best loss -0.999964
[2023-10-30 14:47:38,400] INFO - build_posterior_wrapper took 0.001664 seconds
[2023-10-30 14:47:38,400] INFO - TPE using 42/42 trials with best loss -0.999964
[2023-10-30 14:47:39,406] INFO - build_posterior_wrapper took 0.001677 seconds
[2023-10-30 14:47:39,407] INFO - TPE using 43/43 trials with best loss -0.999964
[2023-10-30 14:47:39,805] INFO - build_posterior_wrapper took 0.001675 seconds
[2023-10-30 14:47:39,805] INFO - TPE using 44/44 trials with best loss -0.999964
[2023-10-30 14:47:40,586] INFO - build_posterior_wrapper took 0.001690 seconds
[2023-10-30 14:47:40,586] INFO - TPE using 45/45 trials with best loss -0.999964
[2023-10-30 14:47:40,720] INFO - build_posterior_wrapper took 0.001714 seconds
[2023-10-30 14:47:40,720] INFO - TPE using 46/46 trials with best loss -0.999964
[2023-10-30 14:47:43,873] INFO - build_posterior_wrapper took 0.001726 seconds
[2023-10-30 14:47:43,873] INFO - TPE using 47/47 trials with best loss -0.999964
[2023-10-30 14:47:45,521] INFO - build_posterior_wrapper took 0.001729 seconds
[2023-10-30 14:47:45,521] INFO - TPE using 48/48 trials with best loss -0.999998
[2023-10-30 14:47:51,289] INFO - build_posterior_wrapper took 0.001883 seconds
[2023-10-30 14:47:51,289] INFO - TPE using 49/49 trials with best loss -0.999998
[2023-10-30 14:47:51,456] INFO - build_posterior_wrapper took 0.001729 seconds
[2023-10-30 14:47:51,456] INFO - TPE using 50/50 trials with best loss -0.999998
[2023-10-30 14:47:52,797] INFO - build_posterior_wrapper took 0.001721 seconds
[2023-10-30 14:47:52,797] INFO - TPE using 51/51 trials with best loss -0.999998
[2023-10-30 14:47:54,111] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:47:54,111] INFO - TPE using 52/52 trials with best loss -0.999998
[2023-10-30 14:47:59,989] INFO - build_posterior_wrapper took 0.001748 seconds
[2023-10-30 14:47:59,990] INFO - TPE using 53/53 trials with best loss -0.999998
[2023-10-30 14:48:00,153] INFO - build_posterior_wrapper took 0.001670 seconds
[2023-10-30 14:48:00,153] INFO - TPE using 54/54 trials with best loss -0.999998
[2023-10-30 14:48:01,686] INFO - build_posterior_wrapper took 0.001757 seconds
[2023-10-30 14:48:01,687] INFO - TPE using 55/55 trials with best loss -0.999999
[2023-10-30 14:48:03,223] INFO - build_posterior_wrapper took 0.001687 seconds
[2023-10-30 14:48:03,223] INFO - TPE using 56/56 trials with best loss -0.999999
[2023-10-30 14:48:06,451] INFO - build_posterior_wrapper took 0.001682 seconds
[2023-10-30 14:48:06,452] INFO - TPE using 57/57 trials with best loss -0.999999
[2023-10-30 14:48:07,886] INFO - build_posterior_wrapper took 0.001801 seconds
[2023-10-30 14:48:07,886] INFO - TPE using 58/58 trials with best loss -0.999999
[2023-10-30 14:48:09,423] INFO - build_posterior_wrapper took 0.001803 seconds
[2023-10-30 14:48:09,423] INFO - TPE using 59/59 trials with best loss -0.999999
[2023-10-30 14:48:10,937] INFO - build_posterior_wrapper took 0.001704 seconds
[2023-10-30 14:48:10,937] INFO - TPE using 60/60 trials with best loss -0.999999
[2023-10-30 14:48:11,042] INFO - build_posterior_wrapper took 0.001736 seconds
[2023-10-30 14:48:11,042] INFO - TPE using 61/61 trials with best loss -0.999999
[2023-10-30 14:48:14,514] INFO - build_posterior_wrapper took 0.001695 seconds
[2023-10-30 14:48:14,514] INFO - TPE using 62/62 trials with best loss -0.999999
[2023-10-30 14:48:15,186] INFO - build_posterior_wrapper took 0.001696 seconds
[2023-10-30 14:48:15,186] INFO - TPE using 63/63 trials with best loss -0.999999
[2023-10-30 14:48:16,636] INFO - build_posterior_wrapper took 0.001664 seconds
[2023-10-30 14:48:16,636] INFO - TPE using 64/64 trials with best loss -1.000000
[2023-10-30 14:48:17,822] INFO - build_posterior_wrapper took 0.001712 seconds
[2023-10-30 14:48:17,822] INFO - TPE using 65/65 trials with best loss -1.000000
[2023-10-30 14:48:19,271] INFO - build_posterior_wrapper took 0.001666 seconds
[2023-10-30 14:48:19,271] INFO - TPE using 66/66 trials with best loss -1.000000
[2023-10-30 14:48:20,726] INFO - build_posterior_wrapper took 0.001673 seconds
[2023-10-30 14:48:20,726] INFO - TPE using 67/67 trials with best loss -1.000000
[2023-10-30 14:48:22,173] INFO - build_posterior_wrapper took 0.001683 seconds
[2023-10-30 14:48:22,173] INFO - TPE using 68/68 trials with best loss -1.000000
[2023-10-30 14:48:23,621] INFO - build_posterior_wrapper took 0.001697 seconds
[2023-10-30 14:48:23,621] INFO - TPE using 69/69 trials with best loss -1.000000
[2023-10-30 14:48:25,072] INFO - build_posterior_wrapper took 0.001706 seconds
[2023-10-30 14:48:25,072] INFO - TPE using 70/70 trials with best loss -1.000000
[2023-10-30 14:48:26,512] INFO - build_posterior_wrapper took 0.001771 seconds
[2023-10-30 14:48:26,513] INFO - TPE using 71/71 trials with best loss -1.000000
[2023-10-30 14:48:26,658] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:48:26,659] INFO - TPE using 72/72 trials with best loss -1.000000
[2023-10-30 14:48:28,523] INFO - build_posterior_wrapper took 0.001817 seconds
[2023-10-30 14:48:28,524] INFO - TPE using 73/73 trials with best loss -1.000000
[2023-10-30 14:48:29,388] INFO - build_posterior_wrapper took 0.001675 seconds
[2023-10-30 14:48:29,389] INFO - TPE using 74/74 trials with best loss -1.000000
[2023-10-30 14:48:30,759] INFO - build_posterior_wrapper took 0.001690 seconds
[2023-10-30 14:48:30,759] INFO - TPE using 75/75 trials with best loss -1.000000
[2023-10-30 14:48:32,249] INFO - build_posterior_wrapper took 0.001663 seconds
[2023-10-30 14:48:32,250] INFO - TPE using 76/76 trials with best loss -1.000000
[2023-10-30 14:48:32,385] INFO - build_posterior_wrapper took 0.001702 seconds
[2023-10-30 14:48:32,385] INFO - TPE using 77/77 trials with best loss -1.000000
[2023-10-30 14:48:33,752] INFO - build_posterior_wrapper took 0.001686 seconds
[2023-10-30 14:48:33,752] INFO - TPE using 78/78 trials with best loss -1.000000
[2023-10-30 14:48:39,863] INFO - build_posterior_wrapper took 0.001680 seconds
[2023-10-30 14:48:39,863] INFO - TPE using 79/79 trials with best loss -1.000000
[2023-10-30 14:48:41,286] INFO - build_posterior_wrapper took 0.001667 seconds
[2023-10-30 14:48:41,286] INFO - TPE using 80/80 trials with best loss -1.000000
[2023-10-30 14:48:42,830] INFO - build_posterior_wrapper took 0.001671 seconds
[2023-10-30 14:48:42,830] INFO - TPE using 81/81 trials with best loss -1.000000
[2023-10-30 14:48:44,367] INFO - build_posterior_wrapper took 0.001665 seconds
[2023-10-30 14:48:44,367] INFO - TPE using 82/82 trials with best loss -1.000000
[2023-10-30 14:48:44,501] INFO - build_posterior_wrapper took 0.001715 seconds
[2023-10-30 14:48:44,502] INFO - TPE using 83/83 trials with best loss -1.000000
[2023-10-30 14:48:45,934] INFO - build_posterior_wrapper took 0.001660 seconds
[2023-10-30 14:48:45,934] INFO - TPE using 84/84 trials with best loss -1.000000
[2023-10-30 14:48:50,416] INFO - build_posterior_wrapper took 0.001805 seconds
[2023-10-30 14:48:50,417] INFO - TPE using 85/85 trials with best loss -1.000000
[2023-10-30 14:48:51,864] INFO - build_posterior_wrapper took 0.001684 seconds
[2023-10-30 14:48:51,864] INFO - TPE using 86/86 trials with best loss -1.000000
[2023-10-30 14:48:53,282] INFO - build_posterior_wrapper took 0.001662 seconds
[2023-10-30 14:48:53,282] INFO - TPE using 87/87 trials with best loss -1.000000
[2023-10-30 14:48:53,331] INFO - build_posterior_wrapper took 0.001688 seconds
[2023-10-30 14:48:53,331] INFO - TPE using 88/88 trials with best loss -1.000000
[2023-10-30 14:48:54,897] INFO - build_posterior_wrapper took 0.001720 seconds
[2023-10-30 14:48:54,897] INFO - TPE using 89/89 trials with best loss -1.000000
[2023-10-30 14:49:00,879] INFO - build_posterior_wrapper took 0.001663 seconds
[2023-10-30 14:49:00,880] INFO - TPE using 90/90 trials with best loss -1.000000
[2023-10-30 14:49:03,809] INFO - build_posterior_wrapper took 0.001753 seconds
[2023-10-30 14:49:03,809] INFO - TPE using 91/91 trials with best loss -1.000000
[2023-10-30 14:49:08,145] INFO - build_posterior_wrapper took 0.001808 seconds
[2023-10-30 14:49:08,145] INFO - TPE using 92/92 trials with best loss -1.000000
[2023-10-30 14:49:08,842] INFO - build_posterior_wrapper took 0.001675 seconds
[2023-10-30 14:49:08,843] INFO - TPE using 93/93 trials with best loss -1.000000
[2023-10-30 14:49:13,296] INFO - build_posterior_wrapper took 0.001684 seconds
[2023-10-30 14:49:13,296] INFO - TPE using 94/94 trials with best loss -1.000000
[2023-10-30 14:49:16,238] INFO - build_posterior_wrapper took 0.001766 seconds
[2023-10-30 14:49:16,238] INFO - TPE using 95/95 trials with best loss -1.000000
[2023-10-30 14:49:20,819] INFO - build_posterior_wrapper took 0.001755 seconds
[2023-10-30 14:49:20,819] INFO - TPE using 96/96 trials with best loss -1.000000
