[2023-11-01 15:55:53,275] INFO - Processing data
[2023-11-01 15:55:58,229] INFO - Data processed
[2023-11-01 15:55:58,229] INFO - Running hyperopt
[2023-11-01 15:55:58,263] INFO - build_posterior_wrapper took 0.008490 seconds
[2023-11-01 15:55:58,263] INFO - TPE using 0 trials
[2023-11-01 15:56:03,576] INFO - build_posterior_wrapper took 0.002393 seconds
[2023-11-01 15:56:03,576] INFO - TPE using 1/1 trials with best loss -0.000000
[2023-11-01 15:56:03,602] INFO - build_posterior_wrapper took 0.002115 seconds
[2023-11-01 15:56:03,602] INFO - TPE using 2/2 trials with best loss -0.481375
[2023-11-01 15:56:03,646] INFO - build_posterior_wrapper took 0.002153 seconds
[2023-11-01 15:56:03,646] INFO - TPE using 3/3 trials with best loss -0.481375
[2023-11-01 15:56:05,313] INFO - build_posterior_wrapper took 0.048380 seconds
[2023-11-01 15:56:05,313] INFO - TPE using 4/4 trials with best loss -0.562607
[2023-11-01 15:56:05,338] INFO - build_posterior_wrapper took 0.002321 seconds
[2023-11-01 15:56:05,338] INFO - TPE using 5/5 trials with best loss -0.562607
[2023-11-01 15:56:05,380] INFO - build_posterior_wrapper took 0.002140 seconds
[2023-11-01 15:56:05,380] INFO - TPE using 6/6 trials with best loss -0.562607
[2023-11-01 15:56:05,423] INFO - build_posterior_wrapper took 0.002073 seconds
[2023-11-01 15:56:05,423] INFO - TPE using 7/7 trials with best loss -0.562607
[2023-11-01 15:56:09,699] INFO - build_posterior_wrapper took 0.002263 seconds
[2023-11-01 15:56:09,699] INFO - TPE using 8/8 trials with best loss -0.562607
[2023-11-01 15:56:09,925] INFO - build_posterior_wrapper took 0.002070 seconds
[2023-11-01 15:56:09,925] INFO - TPE using 9/9 trials with best loss -0.562607
[2023-11-01 15:56:11,312] INFO - build_posterior_wrapper took 0.002087 seconds
[2023-11-01 15:56:11,312] INFO - TPE using 10/10 trials with best loss -0.562607
[2023-11-01 15:56:11,942] INFO - build_posterior_wrapper took 0.002172 seconds
[2023-11-01 15:56:11,942] INFO - TPE using 11/11 trials with best loss -0.562607
[2023-11-01 15:56:11,967] INFO - build_posterior_wrapper took 0.002197 seconds
[2023-11-01 15:56:11,967] INFO - TPE using 12/12 trials with best loss -0.562607
[2023-11-01 15:56:12,022] INFO - build_posterior_wrapper took 0.002117 seconds
[2023-11-01 15:56:12,022] INFO - TPE using 13/13 trials with best loss -0.562607
[2023-11-01 15:56:12,100] INFO - build_posterior_wrapper took 0.002081 seconds
[2023-11-01 15:56:12,100] INFO - TPE using 14/14 trials with best loss -0.562607
[2023-11-01 15:56:12,624] INFO - build_posterior_wrapper took 0.002107 seconds
[2023-11-01 15:56:12,624] INFO - TPE using 15/15 trials with best loss -0.562607
[2023-11-01 15:56:13,079] INFO - build_posterior_wrapper took 0.002215 seconds
[2023-11-01 15:56:13,079] INFO - TPE using 16/16 trials with best loss -0.562607
[2023-11-01 15:56:13,530] INFO - build_posterior_wrapper took 0.002064 seconds
[2023-11-01 15:56:13,530] INFO - TPE using 17/17 trials with best loss -0.567986
[2023-11-01 15:56:19,822] INFO - build_posterior_wrapper took 0.002060 seconds
[2023-11-01 15:56:19,822] INFO - TPE using 18/18 trials with best loss -0.567986
[2023-11-01 15:56:21,838] INFO - build_posterior_wrapper took 0.002089 seconds
[2023-11-01 15:56:21,838] INFO - TPE using 19/19 trials with best loss -0.567986
[2023-11-01 15:56:22,327] INFO - build_posterior_wrapper took 0.002089 seconds
[2023-11-01 15:56:22,327] INFO - TPE using 20/20 trials with best loss -0.567986
[2023-11-01 15:56:26,598] INFO - build_posterior_wrapper took 0.002368 seconds
[2023-11-01 15:56:26,598] INFO - TPE using 21/21 trials with best loss -0.568966
[2023-11-01 15:56:27,341] INFO - build_posterior_wrapper took 0.002107 seconds
[2023-11-01 15:56:27,341] INFO - TPE using 22/22 trials with best loss -0.568966
[2023-11-01 15:56:28,087] INFO - build_posterior_wrapper took 0.002220 seconds
[2023-11-01 15:56:28,087] INFO - TPE using 23/23 trials with best loss -0.568966
[2023-11-01 15:56:31,914] INFO - build_posterior_wrapper took 0.002447 seconds
[2023-11-01 15:56:31,917] INFO - TPE using 24/24 trials with best loss -0.568966
[2023-11-01 15:56:32,649] INFO - build_posterior_wrapper took 0.002076 seconds
[2023-11-01 15:56:32,649] INFO - TPE using 25/25 trials with best loss -0.568966
[2023-11-01 15:56:36,698] INFO - build_posterior_wrapper took 0.002237 seconds
[2023-11-01 15:56:36,698] INFO - TPE using 26/26 trials with best loss -0.568966
[2023-11-01 15:56:41,081] INFO - build_posterior_wrapper took 0.002258 seconds
[2023-11-01 15:56:41,082] INFO - TPE using 27/27 trials with best loss -0.568966
[2023-11-01 15:56:42,526] INFO - build_posterior_wrapper took 0.002245 seconds
[2023-11-01 15:56:42,526] INFO - TPE using 28/28 trials with best loss -0.568966
[2023-11-01 15:56:43,303] INFO - build_posterior_wrapper took 0.002080 seconds
[2023-11-01 15:56:43,303] INFO - TPE using 29/29 trials with best loss -0.568966
[2023-11-01 15:56:46,867] INFO - build_posterior_wrapper took 0.002247 seconds
[2023-11-01 15:56:46,867] INFO - TPE using 30/30 trials with best loss -0.568966
[2023-11-01 15:56:47,547] INFO - build_posterior_wrapper took 0.002173 seconds
[2023-11-01 15:56:47,547] INFO - TPE using 31/31 trials with best loss -0.568966
[2023-11-01 15:56:50,898] INFO - build_posterior_wrapper took 0.002264 seconds
[2023-11-01 15:56:50,898] INFO - TPE using 32/32 trials with best loss -0.568966
[2023-11-01 15:56:50,978] INFO - build_posterior_wrapper took 0.002074 seconds
[2023-11-01 15:56:50,978] INFO - TPE using 33/33 trials with best loss -0.568966
[2023-11-01 15:56:51,418] INFO - build_posterior_wrapper took 0.002180 seconds
[2023-11-01 15:56:51,418] INFO - TPE using 34/34 trials with best loss -0.568966
[2023-11-01 15:56:51,514] INFO - build_posterior_wrapper took 0.002066 seconds
[2023-11-01 15:56:51,514] INFO - TPE using 35/35 trials with best loss -0.568966
[2023-11-01 15:56:56,146] INFO - build_posterior_wrapper took 0.002105 seconds
[2023-11-01 15:56:56,146] INFO - TPE using 36/36 trials with best loss -0.569948
[2023-11-01 15:57:02,194] INFO - build_posterior_wrapper took 0.002075 seconds
[2023-11-01 15:57:02,195] INFO - TPE using 37/37 trials with best loss -0.569948
[2023-11-01 15:57:06,122] INFO - build_posterior_wrapper took 0.002198 seconds
[2023-11-01 15:57:06,122] INFO - TPE using 38/38 trials with best loss -0.569948
[2023-11-01 15:57:12,542] INFO - build_posterior_wrapper took 0.002096 seconds
[2023-11-01 15:57:12,542] INFO - TPE using 39/39 trials with best loss -0.569948
[2023-11-01 15:57:16,451] INFO - build_posterior_wrapper took 0.002115 seconds
[2023-11-01 15:57:16,452] INFO - TPE using 40/40 trials with best loss -0.569948
[2023-11-01 15:57:19,241] INFO - build_posterior_wrapper took 0.002126 seconds
[2023-11-01 15:57:19,241] INFO - TPE using 41/41 trials with best loss -0.569948
[2023-11-01 15:57:19,320] INFO - build_posterior_wrapper took 0.002078 seconds
[2023-11-01 15:57:19,321] INFO - TPE using 42/42 trials with best loss -0.569948
[2023-11-01 15:57:19,664] INFO - build_posterior_wrapper took 0.002062 seconds
[2023-11-01 15:57:19,664] INFO - TPE using 43/43 trials with best loss -0.569948
[2023-11-01 15:57:21,375] INFO - build_posterior_wrapper took 0.002128 seconds
[2023-11-01 15:57:21,375] INFO - TPE using 44/44 trials with best loss -0.569948
[2023-11-01 15:57:21,428] INFO - build_posterior_wrapper took 0.002087 seconds
[2023-11-01 15:57:21,428] INFO - TPE using 45/45 trials with best loss -0.569948
[2023-11-01 15:57:24,906] INFO - build_posterior_wrapper took 0.002086 seconds
[2023-11-01 15:57:24,906] INFO - TPE using 46/46 trials with best loss -0.569948
[2023-11-01 15:57:25,038] INFO - build_posterior_wrapper took 0.002161 seconds
[2023-11-01 15:57:25,038] INFO - TPE using 47/47 trials with best loss -0.569948
[2023-11-01 15:57:30,809] INFO - build_posterior_wrapper took 0.002287 seconds
[2023-11-01 15:57:30,809] INFO - TPE using 48/48 trials with best loss -0.569948
[2023-11-01 15:57:30,854] INFO - build_posterior_wrapper took 0.002063 seconds
[2023-11-01 15:57:30,854] INFO - TPE using 49/49 trials with best loss -0.569948
[2023-11-01 15:57:35,097] INFO - build_posterior_wrapper took 0.002067 seconds
[2023-11-01 15:57:35,097] INFO - TPE using 50/50 trials with best loss -0.569948
[2023-11-01 15:57:35,677] INFO - build_posterior_wrapper took 0.002059 seconds
[2023-11-01 15:57:35,677] INFO - TPE using 51/51 trials with best loss -0.569948
[2023-11-01 15:57:36,133] INFO - build_posterior_wrapper took 0.002096 seconds
[2023-11-01 15:57:36,133] INFO - TPE using 52/52 trials with best loss -0.569948
[2023-11-01 15:57:36,195] INFO - build_posterior_wrapper took 0.002078 seconds
[2023-11-01 15:57:36,195] INFO - TPE using 53/53 trials with best loss -0.569948
[2023-11-01 15:57:40,257] INFO - build_posterior_wrapper took 0.002142 seconds
[2023-11-01 15:57:40,257] INFO - TPE using 54/54 trials with best loss -0.569948
[2023-11-01 15:57:48,183] INFO - build_posterior_wrapper took 0.002355 seconds
[2023-11-01 15:57:48,183] INFO - TPE using 55/55 trials with best loss -0.569948
[2023-11-01 15:57:52,268] INFO - build_posterior_wrapper took 0.002128 seconds
[2023-11-01 15:57:52,268] INFO - TPE using 56/56 trials with best loss -0.569948
[2023-11-01 15:57:52,296] INFO - build_posterior_wrapper took 0.002073 seconds
[2023-11-01 15:57:52,296] INFO - TPE using 57/57 trials with best loss -0.569948
[2023-11-01 15:57:53,998] INFO - build_posterior_wrapper took 0.002181 seconds
[2023-11-01 15:57:53,998] INFO - TPE using 58/58 trials with best loss -0.569948
[2023-11-01 15:57:54,724] INFO - build_posterior_wrapper took 0.002246 seconds
[2023-11-01 15:57:54,724] INFO - TPE using 59/59 trials with best loss -0.569948
[2023-11-01 15:57:58,640] INFO - build_posterior_wrapper took 0.002117 seconds
[2023-11-01 15:57:58,640] INFO - TPE using 60/60 trials with best loss -0.569948
[2023-11-01 15:58:06,747] INFO - build_posterior_wrapper took 0.002367 seconds
[2023-11-01 15:58:06,747] INFO - TPE using 61/61 trials with best loss -0.569948
[2023-11-01 15:58:06,829] INFO - build_posterior_wrapper took 0.002089 seconds
[2023-11-01 15:58:06,829] INFO - TPE using 62/62 trials with best loss -0.569948
[2023-11-01 15:58:07,931] INFO - build_posterior_wrapper took 0.002058 seconds
[2023-11-01 15:58:07,931] INFO - TPE using 63/63 trials with best loss -0.569948
[2023-11-01 15:58:10,601] INFO - build_posterior_wrapper took 0.002184 seconds
[2023-11-01 15:58:10,602] INFO - TPE using 64/64 trials with best loss -0.569948
[2023-11-01 15:58:10,736] INFO - build_posterior_wrapper took 0.002078 seconds
[2023-11-01 15:58:10,737] INFO - TPE using 65/65 trials with best loss -0.569948
[2023-11-01 15:58:15,035] INFO - build_posterior_wrapper took 0.002144 seconds
[2023-11-01 15:58:15,035] INFO - TPE using 66/66 trials with best loss -0.569948
[2023-11-01 15:58:18,933] INFO - build_posterior_wrapper took 0.002116 seconds
[2023-11-01 15:58:18,933] INFO - TPE using 67/67 trials with best loss -0.569948
[2023-11-01 15:58:22,817] INFO - build_posterior_wrapper took 0.002222 seconds
[2023-11-01 15:58:22,817] INFO - TPE using 68/68 trials with best loss -0.569948
[2023-11-01 15:58:27,379] INFO - build_posterior_wrapper took 0.002347 seconds
[2023-11-01 15:58:27,379] INFO - TPE using 69/69 trials with best loss -0.570435
[2023-11-01 15:58:31,291] INFO - build_posterior_wrapper took 0.002185 seconds
[2023-11-01 15:58:31,291] INFO - TPE using 70/70 trials with best loss -0.570934
[2023-11-01 15:58:35,157] INFO - build_posterior_wrapper took 0.002066 seconds
[2023-11-01 15:58:35,157] INFO - TPE using 71/71 trials with best loss -0.570934
[2023-11-01 15:58:39,031] INFO - build_posterior_wrapper took 0.002211 seconds
[2023-11-01 15:58:39,031] INFO - TPE using 72/72 trials with best loss -0.570934
[2023-11-01 15:58:39,703] INFO - build_posterior_wrapper took 0.002133 seconds
[2023-11-01 15:58:39,703] INFO - TPE using 73/73 trials with best loss -0.570934
[2023-11-01 15:58:47,363] INFO - build_posterior_wrapper took 0.002248 seconds
[2023-11-01 15:58:47,363] INFO - TPE using 74/74 trials with best loss -0.570934
[2023-11-01 15:58:52,471] INFO - build_posterior_wrapper took 0.002248 seconds
[2023-11-01 15:58:52,471] INFO - TPE using 75/75 trials with best loss -0.570934
[2023-11-01 15:58:53,595] INFO - build_posterior_wrapper took 0.002216 seconds
[2023-11-01 15:58:53,595] INFO - TPE using 76/76 trials with best loss -0.570934
[2023-11-01 15:58:57,469] INFO - build_posterior_wrapper took 0.002261 seconds
[2023-11-01 15:58:57,469] INFO - TPE using 77/77 trials with best loss -0.570934
[2023-11-01 15:58:57,979] INFO - build_posterior_wrapper took 0.002215 seconds
[2023-11-01 15:58:57,979] INFO - TPE using 78/78 trials with best loss -0.570934
[2023-11-01 15:58:58,059] INFO - build_posterior_wrapper took 0.002160 seconds
[2023-11-01 15:58:58,059] INFO - TPE using 79/79 trials with best loss -0.570934
[2023-11-01 15:59:01,925] INFO - build_posterior_wrapper took 0.002277 seconds
[2023-11-01 15:59:01,925] INFO - TPE using 80/80 trials with best loss -0.570934
[2023-11-01 15:59:12,134] INFO - build_posterior_wrapper took 0.002270 seconds
[2023-11-01 15:59:12,134] INFO - TPE using 81/81 trials with best loss -0.570934
[2023-11-01 15:59:12,628] INFO - build_posterior_wrapper took 0.002087 seconds
[2023-11-01 15:59:12,628] INFO - TPE using 82/82 trials with best loss -0.570934
[2023-11-01 15:59:12,730] INFO - build_posterior_wrapper took 0.002080 seconds
[2023-11-01 15:59:12,730] INFO - TPE using 83/83 trials with best loss -0.570934
[2023-11-01 15:59:13,875] INFO - build_posterior_wrapper took 0.002167 seconds
[2023-11-01 15:59:13,875] INFO - TPE using 84/84 trials with best loss -0.570934
[2023-11-01 15:59:13,955] INFO - build_posterior_wrapper took 0.002201 seconds
[2023-11-01 15:59:13,955] INFO - TPE using 85/85 trials with best loss -0.570934
[2023-11-01 15:59:15,547] INFO - build_posterior_wrapper took 0.002094 seconds
[2023-11-01 15:59:15,547] INFO - TPE using 86/86 trials with best loss -0.570934
[2023-11-01 15:59:18,873] INFO - build_posterior_wrapper took 0.002076 seconds
[2023-11-01 15:59:18,874] INFO - TPE using 87/87 trials with best loss -0.570934
[2023-11-01 15:59:25,204] INFO - build_posterior_wrapper took 0.002270 seconds
[2023-11-01 15:59:25,204] INFO - TPE using 88/88 trials with best loss -0.570934
[2023-11-01 15:59:25,367] INFO - build_posterior_wrapper took 0.002148 seconds
[2023-11-01 15:59:25,367] INFO - TPE using 89/89 trials with best loss -0.570934
[2023-11-01 15:59:31,410] INFO - build_posterior_wrapper took 0.002362 seconds
[2023-11-01 15:59:31,411] INFO - TPE using 90/90 trials with best loss -0.570934
[2023-11-01 15:59:31,456] INFO - build_posterior_wrapper took 0.002086 seconds
[2023-11-01 15:59:31,456] INFO - TPE using 91/91 trials with best loss -0.570934
[2023-11-01 15:59:36,157] INFO - build_posterior_wrapper took 0.002162 seconds
[2023-11-01 15:59:36,157] INFO - TPE using 92/92 trials with best loss -0.570934
[2023-11-01 15:59:38,691] INFO - build_posterior_wrapper took 0.002137 seconds
